drug_id,protein_id,interaction
D00173,P00173,0
D00174,P00174,1
D00175,P00175,0
D00176,P00176,1
D00177,P00177,0
D00178,P00178,1
D00179,P00179,0
D00180,P00180,1
D00181,P00181,0
D00182,P00182,1
D00183,P00183,0
D00184,P00184,1
D00185,P00185,0
D00186,P00186,1
D00187,P00187,0
D00188,P00188,1
D00189,P00189,0
D00190,P00190,1
D00191,P00191,0
D00192,P00192,1
D00193,P00193,0
D00194,P00194,1
D00195,P00195,0
D00196,P00196,1
D00197,P00197,0
D00198,P00198,1
D00199,P00199,0
D00200,P00200,1
D00201,P00201,0
D00202,P00202,1
D00203,P00203,0
D00204,P00204,1
D00205,P00205,0
D00206,P00206,1
D00207,P00207,0
D00208,P00208,1
D00209,P00209,0
D00210,P00210,1
D00211,P00211,0
D00212,P00212,1
D00213,P00213,0
D00214,P00214,1
D00215,P00215,0
D00216,P00216,1
D00217,P00217,0
D00218,P00218,1
D00219,P00219,0
D00220,P00220,1
D00221,P00221,0
D00222,P00222,1
D00223,P00223,0
D00224,P00224,1
D00225,P00225,0
D00226,P00226,1
D00227,P00227,0
D00228,P00228,1
D00229,P00229,0
D00230,P00230,1
D00231,P00231,0
D00232,P00232,1
D00233,P00233,0
D00234,P00234,1
D00235,P00235,0
D00236,P00236,1
D00237,P00237,0
D00238,P00238,1
D00239,P00239,0
D00240,P00240,1
D00241,P00241,0
D00242,P00242,1
D00243,P00243,0
D00244,P00244,1
D00245,P00245,1
D00246,P00246,0
D00247,P00247,1
D00248,P00248,0
D00249,P00249,1
D00250,P00250,0
D00251,P00251,1
D00252,P00252,0
D00253,P00253,1
D00254,P00254,0
D00255,P00255,1
D00256,P00256,0
D00257,P00257,1
D00258,P00258,0
D00259,P00259,1
D00260,P00260,0
D00261,P00261,1
D00262,P00262,0
D00263,P00263,1
D00264,P00264,0
D00265,P00265,1
D00266,P00266,0
D00267,P00267,1
D00268,P00268,0
D00269,P00269,1
D00270,P00270,0
D00271,P00271,1
D00272,P00272,0
D00273,P00273,1
D00274,P00274,0
D00275,P00275,1
D00276,P00276,0
D00277,P00277,1
D00278,P00278,0
D00279,P00279,1
D00280,P00280,0
D00281,P00281,1
D00282,P00282,0
D00283,P00283,1
D00284,P00284,0
D00285,P00285,1
D00286,P00286,0
D00287,P00287,1
D00288,P00288,0
D00289,P00289,1
D00290,P00290,0
D00291,P00291,1
D00292,P00292,0
D00293,P00293,1
D00294,P00294,0
D00295,P00295,1
D00296,P00296,0
D00297,P00297,1
D00298,P00298,0
D00299,P00299,1
D00300,P00300,0
D00301,P00301,1
D00302,P00302,0
D00303,P00303,1
D00304,P00304,0
D00305,P00305,1
D00306,P00306,0
D00307,P00307,1
D00308,P00308,0
D00309,P00309,1
D00310,P00310,0
D00311,P00311,1
D00312,P00312,0
D00313,P00313,1
D00314,P00314,0
D00315,P00315,1
D00316,P00316,0
D00317,P00317,1
D00318,P00318,0
D00319,P00319,1
D00320,P00320,0
D00321,P00321,1
D00322,P00322,0
D00323,P00323,1
D00324,P00324,0
D00325,P00325,1
D00326,P00326,0
D00327,P00327,1
D00328,P00328,0
D00329,P00329,1
D00330,P00330,0
D00331,P00331,1
D00332,P00332,0
D00333,P00333,1
D00334,P00334,0
D00335,P00335,1
D00336,P00336,0
D00337,P00337,1
D00338,P00338,0
D00339,P00339,1
D00340,P00340,0
D00341,P00341,1
D00342,P00342,0
D00343,P00343,1
D00344,P00344,0
D00345,P00345,1
D00346,P00346,0
D00347,P00347,1
D00348,P00348,0
D00349,P00349,1
D00350,P00350,0
D00351,P00351,1
D00352,P00352,0
D00353,P00353,1
D00354,P00354,0
D00355,P00355,1
D00356,P00356,0
D00357,P00357,1
D00358,P00358,0
D00359,P00359,1
D00360,P00360,0
D00361,P00361,1
D00362,P00362,0
D00363,P00363,1
D00364,P00364,0
D00365,P00365,1
D00366,P00366,0
D00367,P00367,1
D00368,P00368,0
D00369,P00369,1
D00370,P00370,1
D00371,P00371,0
D00372,P00372,1
D00373,P00373,0
D00374,P00374,1
D00375,P00375,0
D00376,P00376,1
D00377,P00377,0
D00378,P00378,1
D00379,P00379,0
D00380,P00380,1
D00381,P00381,0
D00382,P00382,1
D00383,P00383,0
D00384,P00384,1
D00385,P00385,0
D00386,P00386,1
D00387,P00387,0
D00388,P00388,1
D00389,P00389,0
D00390,P00390,1
D00391,P00391,0
D00392,P00392,1
D00393,P00393,0
D00394,P00394,1
D00395,P00395,0
D00396,P00396,1
D00397,P00397,0
D00398,P00398,1
D00399,P00399,0
D00400,P00400,1
D00401,P00401,0
D00402,P00402,1
D00403,P00403,0
D00404,P00404,1
D00405,P00405,0
D00406,P00406,1
D00407,P00407,0
D00408,P00408,1
D00409,P00409,0
D00410,P00410,1
D00411,P00411,0
D00412,P00412,1
D00413,P00413,0
D00414,P00414,1
D00415,P00415,0
D00416,P00416,1
D00417,P00417,0
D00418,P00418,1
D00419,P00419,0
D00420,P00420,1
D00421,P00421,0
D00422,P00422,1
D00423,P00423,0
D00424,P00424,1
D00425,P00425,0
D00426,P00426,1
D00427,P00427,0
D00428,P00428,1
D00429,P00429,0
D00430,P00430,1
D00431,P00431,0
D00432,P00432,1
D00433,P00433,0
D00434,P00434,1
D00435,P00435,0
D00436,P00436,1
D00437,P00437,0
D00438,P00438,1
D00439,P00439,0
D00440,P00440,1
D00441,P00441,0
D00442,P00442,1
D00443,P00443,0
D00444,P00444,1
D00445,P00445,0
D00446,P00446,1
D00447,P00447,0
D00448,P00448,1
D00449,P00449,0
D00450,P00450,1
D00451,P00451,0
D00452,P00452,1
D00453,P00453,0
D00454,P00454,1
D00455,P00455,0
D00456,P00456,1
D00457,P00457,0
D00458,P00458,1
D00459,P00459,0
D00460,P00460,1
D00461,P00461,0
D00462,P00462,1
D00463,P00463,0
D00464,P00464,1
D00465,P00465,0
D00466,P00466,1
D00467,P00467,0
D00468,P00468,1
D00469,P00469,0
D00470,P00470,1
D00471,P00471,0
D00472,P00472,1
D00473,P00473,0
D00474,P00474,1
D00475,P00475,0
D00476,P00476,1
D00477,P00477,0
D00478,P00478,1
D00479,P00479,0
D00480,P00480,1
D00481,P00481,0
D00482,P00482,1
D00483,P00483,0
D00484,P00484,1
D00485,P00485,0
D00486,P00486,1
D00487,P00487,0
D00488,P00488,1
D00489,P00489,0
D00490,P00490,1
D00491,P00491,0
D00492,P00492,1
D00493,P00493,0
D00494,P00494,1
D00495,P00495,0
D00496,P00496,1
D00497,P00497,0
D00498,P00498,1
D00499,P00499,0
D00500,P00500,1
D00501,P00501,0
D00502,P00502,1
D00503,P00503,0
D00504,P00504,1
D00505,P00505,0
D00506,P00506,1
D00507,P00507,0
D00508,P00508,1
D00509,P00509,0
D00510,P00510,1
D00511,P00511,0
D00512,P00512,1
D00513,P00513,0
D00514,P00514,1
D00515,P00515,0
D00516,P00516,1
D00517,P00517,0
D00518,P00518,1
D00519,P00519,0
D00520,P00520,1
D00521,P00521,0
D00522,P00522,1
D00523,P00523,0
D00524,P00524,1
D00525,P00525,0
D00526,P00526,1
D00527,P00527,0
D00528,P00528,1
D00529,P00529,0
D00530,P00530,1
D00531,P00531,0
D00532,P00532,1
D00533,P00533,0
D00534,P00534,1
D00535,P00535,0
D00536,P00536,1
D00537,P00537,0
D00538,P00538,1
D00539,P00539,0
D00540,P00540,1
D00541,P00541,0
D00542,P00542,1
D00543,P00543,0
D00544,P00544,1
D00545,P00545,0
D00546,P00546,1
D00547,P00547,0
D00548,P00548,1
D00549,P00549,0
D00550,P00550,1
D00551,P00551,0
D00552,P00552,1
D00553,P00553,0
D00554,P00554,1
D00555,P00555,0
D00556,P00556,1
D00557,P00557,0
D00558,P00558,1
D00559,P00559,0
D00560,P00560,1
D00561,P00561,0
D00562,P00562,1
D00563,P00563,0
D00564,P00564,1
D00565,P00565,0
D00566,P00566,1
D00567,P00567,0
D00568,P00568,1
D00569,P00569,0
D00570,P00570,1
D00571,P00571,0
D00572,P00572,1
D00573,P00573,0
D00574,P00574,1
D00575,P00575,0
D00576,P00576,1
D00577,P00577,0
D00578,P00578,1
D00579,P00579,0
D00580,P00580,1
D00581,P00581,0
D00582,P00582,1
D00583,P00583,1
D00584,P00584,0
D00585,P00585,1
D00586,P00586,0
D00587,P00587,1
D00588,P00588,0
D00589,P00589,1
D00590,P00590,0
D00591,P00591,1
D00592,P00592,0
D00593,P00593,1
D00594,P00594,0
D00595,P00595,1
D00596,P00596,0
D00597,P00597,1
D00598,P00598,0
D00599,P00599,1
D00600,P00600,0
D00601,P00601,1
D00602,P00602,0
D00603,P00603,1
D00604,P00604,0
D00605,P00605,1
D00606,P00606,0
D00607,P00607,1
D00608,P00608,0
D00609,P00609,1
D00610,P00610,0
D00611,P00611,1
D00612,P00612,0
D00613,P00613,1
D00614,P00614,0
D00615,P00615,1
D00616,P00616,0
D00617,P00617,1
D00618,P00618,0
D00619,P00619,1
D00620,P00620,0
D00621,P00621,1
D00622,P00622,0
D00623,P00623,1
D00624,P00624,0
D00625,P00625,1
D00626,P00626,0
D00627,P00627,1
D00628,P00628,0
D00629,P00629,1
D00630,P00630,0
D00631,P00631,1
D00632,P00632,0
D00633,P00633,1
D00634,P00634,0
D00635,P00635,1
D00636,P00636,0
D00637,P00637,1
D00638,P00638,0
D00639,P00639,1
D00640,P00640,0
D00641,P00641,1
D00642,P00642,0
D00643,P00643,1
D00644,P00644,0
D00645,P00645,1
D00646,P00646,0
D00647,P00647,1
D00648,P00648,0
D00649,P00649,1
D00650,P00650,0
D00651,P00651,1
D00652,P00652,0
D00653,P00653,1
D00654,P00654,0
D00655,P00655,1
D00656,P00656,0
D00657,P00657,1
D00658,P00658,0
D00659,P00659,1
D00660,P00660,0
D00661,P00661,1
D00662,P00662,0
D00663,P00663,1
D00664,P00664,0
D00665,P00665,1
D00666,P00666,0
D00667,P00667,1
D00668,P00668,0
D00669,P00669,1
D00670,P00670,0
D00671,P00671,1
D00672,P00672,0
D00673,P00673,1
D00674,P00674,0
D00675,P00675,1
D00676,P00676,0
D00677,P00677,1
D00678,P00678,0
D00679,P00679,1
D00680,P00680,0
D00681,P00681,1
D00682,P00682,0
D00683,P00683,1
D00684,P00684,0
D00685,P00685,1
D00686,P00686,1
D00687,P00687,0
D00688,P00688,1
D00689,P00689,0
D00690,P00690,1
D00691,P00691,0
D00692,P00692,1
D00693,P00693,1
D00694,P00694,0
D00695,P00695,1
D00696,P00696,0
D00697,P00697,1
D00698,P00698,0
D00699,P00699,1
D00700,P00700,0
D00701,P00701,1
D00702,P00702,0
D00703,P00703,1
D00704,P00704,0
D00705,P00705,1
D00706,P00706,0
D00707,P00707,1
D00708,P00708,0
D00709,P00709,1
D00710,P00710,0
D00711,P00711,1
D00712,P00712,0
D00713,P00713,1
D00714,P00714,0
D00715,P00715,1
D00716,P00716,0
D00717,P00717,1
D00718,P00718,0
D00719,P00719,1
D00720,P00720,0
D00721,P00721,1
D00722,P00722,0
D00723,P00723,1
D00724,P00724,0
D00725,P00725,1
D00726,P00726,0
D00727,P00727,1
D00728,P00728,0
D00729,P00729,1
D00730,P00730,0
D00731,P00731,1
D00732,P00732,0
D00733,P00733,1
D00734,P00734,0
D00735,P00735,1
D00736,P00736,0
D00737,P00737,1
D00738,P00738,0
D00739,P00739,1
D00740,P00740,0
D00741,P00741,1
D00742,P00742,0
D00743,P00743,1
D00744,P00744,0
D00745,P00745,1
D00746,P00746,0
D00747,P00747,1
D00748,P00748,0
D00749,P00749,1
D00750,P00750,1
D00751,P00751,0
D00752,P00752,1
D00753,P00753,0
D00754,P00754,1
D00755,P00755,0
D00756,P00756,1
D00757,P00757,0
D00758,P00758,1
D00759,P00759,0
D00760,P00760,1
D00761,P00761,0
D00762,P00762,1
D00763,P00763,0
D00764,P00764,1
D00765,P00765,0
D00766,P00766,1
D00767,P00767,0
D00768,P00768,1
D00769,P00769,0
D00770,P00770,1
D00771,P00771,0
D00772,P00772,1
D00773,P00773,0
D00774,P00774,1
D00775,P00775,0
D00776,P00776,1
D00777,P00777,0
D00778,P00778,1
D00779,P00779,0
D00780,P00780,1
D00781,P00781,0
D00782,P00782,1
D00783,P00783,0
D00784,P00784,1
D00785,P00785,0
D00786,P00786,1
D00787,P00787,0
D00788,P00788,1
D00789,P00789,0
D00790,P00790,1
D00791,P00791,0
D00792,P00792,1
D00793,P00793,0
D00794,P00794,1
D00795,P00795,0
D00796,P00796,1
D00797,P00797,0
D00798,P00798,1
D00799,P00799,0
D00800,P00800,1
D00801,P00801,0
D00802,P00802,1
D00803,P00803,1
D00804,P00804,0
D00805,P00805,1
D00806,P00806,0
D00807,P00807,1
D00808,P00808,0
D00809,P00809,1
D00810,P00810,0
D00811,P00811,1
D00812,P00812,0
D00813,P00813,1
D00814,P00814,0
D00815,P00815,1
D00816,P00816,0
D00817,P00817,1
D00818,P00818,0
D00819,P00819,1
D00820,P00820,0
D00821,P00821,1
D00822,P00822,0
D00823,P00823,1
D00824,P00824,0
D00825,P00825,1
D00826,P00826,0
D00827,P00827,1
D00828,P00828,0
D00829,P00829,1
D00830,P00830,0
D00831,P00831,1
D00832,P00832,0
D00833,P00833,1
D00834,P00834,0
D00835,P00835,1
D00836,P00836,0
D00837,P00837,1
D00838,P00838,0
D00839,P00839,1
D00840,P00840,0
D00841,P00841,1
D00842,P00842,0
D00843,P00843,1
D00844,P00844,0
D00845,P00845,1
D00846,P00846,0
D00847,P00847,1
D00848,P00848,0
D00849,P00849,1
D00850,P00850,0
D00851,P00851,1
D00852,P00852,0
D00853,P00853,1
D00854,P00854,0
D00855,P00855,1
D00856,P00856,0
D00857,P00857,1
D00858,P00858,0
D00859,P00859,1
D00860,P00860,0
D00861,P00861,1
D00862,P00862,0
D00863,P00863,1
D00864,P00864,0
D00865,P00865,1
D00866,P00866,0
D00867,P00867,1
D00868,P00868,0
D00869,P00869,1
D00870,P00870,0
D00871,P00871,1
D00872,P00872,0
D00873,P00873,1
D00874,P00874,0
D00875,P00875,1
D00876,P00876,0
D00877,P00877,1
D00878,P00878,0
D00879,P00879,1
D00880,P00880,0
D00881,P00881,1
D00882,P00882,0
D00883,P00883,1
D00884,P00884,0
D00885,P00885,1
D00886,P00886,0
D00887,P00887,1
D00888,P00888,0
D00889,P00889,1
D00890,P00890,0
D00891,P00891,1
D00892,P00892,0
D00893,P00893,1
D00894,P00894,0
D00895,P00895,1
D00896,P00896,0
D00897,P00897,1
D00898,P00898,0
D00899,P00899,1
D00900,P00900,0
D00901,P00901,1
D00902,P00902,0
D00903,P00903,1
D00904,P00904,0
D00905,P00905,1
D00906,P00906,0
D00907,P00907,1
D00908,P00908,0
D00909,P00909,1
D00910,P00910,0
D00911,P00911,1
D00912,P00912,0
D00913,P00913,1
D00914,P00914,0
D00915,P00915,1
D00916,P00916,0
D00917,P00917,1
D00918,P00918,0
D00919,P00919,1
D00920,P00920,0
D00921,P00921,1
D00922,P00922,0
D00923,P00923,1
D00924,P00924,0
D00925,P00925,0
D00926,P00926,1
D00927,P00927,0
D00928,P00928,1
D00929,P00929,0
D00930,P00930,1
D00931,P00931,0
D00932,P00932,1
D00933,P00933,0
D00934,P00934,1
D00935,P00935,0
D00936,P00936,1
D00937,P00937,0
D00938,P00938,1
D00939,P00939,0
D00940,P00940,1
D00941,P00941,0
D00942,P00942,1
D00943,P00943,0
D00944,P00944,1
D00945,P00945,0
D00946,P00946,1
D00947,P00947,0
D00948,P00948,1
D00949,P00949,0
D00950,P00950,1
D00951,P00951,0
D00952,P00952,1
D00953,P00953,0
D00954,P00954,1
D00955,P00955,1
D00956,P00956,0
D00957,P00957,1
D00958,P00958,0
D00959,P00959,1
D00960,P00960,0
D00961,P00961,1
D00962,P00962,0
D00963,P00963,1
D00964,P00964,0
D00965,P00965,1
D00966,P00966,0
D00967,P00967,1
D00968,P00968,0
D00969,P00969,1
D00970,P00970,0
D00971,P00971,1
D00972,P00972,0
D00973,P00973,1
D00974,P00974,0
D00975,P00975,1
D00976,P00976,0
D00977,P00977,1
D00978,P00978,0
D00979,P00979,1
D00980,P00980,0
D00981,P00981,1
D00982,P00982,0
D00983,P00983,0
D00984,P00984,1
D00985,P00985,0
D00986,P00986,1
D00987,P00987,0
D00988,P00988,1
D00989,P00989,0
D00990,P00990,0
D00991,P00991,1
D00992,P00992,0
D00993,P00993,1
D00994,P00994,0
D00995,P00995,1
D00996,P00996,0
D00997,P00997,1
D00998,P00998,0
D00999,P00999,1
D01000,P01000,0
D01001,P01001,1
D01002,P01002,0
D01003,P01003,1
D01004,P01004,0
D01005,P01005,1
D01006,P01006,0
D01007,P01007,1
D01008,P01008,0
D01009,P01009,1
D01010,P01010,0
D01011,P01011,1
D01012,P01012,0
D01013,P01013,1
D01014,P01014,0
D01015,P01015,1
D01016,P01016,0
D01017,P01017,1
D01018,P01018,0
D01019,P01019,1
D01020,P01020,0
D01021,P01021,1
D01022,P01022,0
D01023,P01023,1
D01024,P01024,0
D01025,P01025,1
D01026,P01026,0
D01027,P01027,1
D01028,P01028,0
D01029,P01029,1
D01030,P01030,0
D01031,P01031,1
D01032,P01032,0
D01033,P01033,1
D01034,P01034,0
D01035,P01035,1
D01036,P01036,0
D01037,P01037,1
D01038,P01038,0
D01039,P01039,1
D01040,P01040,0
D01041,P01041,1
D01042,P01042,0
D01043,P01043,1
D01044,P01044,0
D01045,P01045,1
D01046,P01046,0
D01047,P01047,1
D01048,P01048,0
D01049,P01049,1
D01050,P01050,0
D01051,P01051,1
D01052,P01052,0
D01053,P01053,1
D01054,P01054,0
D01055,P01055,1
D01056,P01056,0
D01057,P01057,1
D01058,P01058,0
D01059,P01059,1
D01060,P01060,0
D01061,P01061,1
D01062,P01062,0
D01063,P01063,1
D01064,P01064,0
D01065,P01065,1
D01066,P01066,0
D01067,P01067,1
D01068,P01068,0
D01069,P01069,1
D01070,P01070,0
D01071,P01071,1
D01072,P01072,0
D01073,P01073,1
D01074,P01074,0
D01075,P01075,1
D01076,P01076,0
D01077,P01077,1
D01078,P01078,0
D01079,P01079,1
D01080,P01080,0
D01081,P01081,1
D01082,P01082,0
D01083,P01083,1
D01084,P01084,0
D01085,P01085,1
D01086,P01086,0
D01087,P01087,1
D01088,P01088,0
D01089,P01089,1
D01090,P01090,0
D01091,P01091,1
D01092,P01092,0
D01093,P01093,1
D01094,P01094,0
D01095,P01095,1
D01096,P01096,0
D01097,P01097,1
D01098,P01098,0
D01099,P01099,1
D01100,P01100,0
D01101,P01101,1
D01102,P01102,0
D01103,P01103,1
D01104,P01104,0
D01105,P01105,1
D01106,P01106,0
D01107,P01107,1
D01108,P01108,0
D01109,P01109,1
D01110,P01110,0
D01111,P01111,1
D01112,P01112,1
D01113,P01113,0
D01114,P01114,1
D01115,P01115,0
D01116,P01116,1
D01117,P01117,0
D01118,P01118,0
D01119,P01119,1
D01120,P01120,0
D01121,P01121,1
D01122,P01122,0
D01123,P01123,1
D01124,P01124,0
D01125,P01125,1
D01126,P01126,0
D01127,P01127,1
D01128,P01128,0
D01129,P01129,1
D01130,P01130,0
D01131,P01131,1
D01132,P01132,0
D01133,P01133,1
D01134,P01134,0
D01135,P01135,1
D01136,P01136,0
D01137,P01137,1
D01138,P01138,0
D01139,P01139,1
D01140,P01140,0
D01141,P01141,1
D01142,P01142,0
D01143,P01143,1
D01144,P01144,0
D01145,P01145,1
D01146,P01146,0
D01147,P01147,1
D01148,P01148,0
D01149,P01149,1
D01150,P01150,0
D01151,P01151,1
D01152,P01152,0
D01153,P01153,1
D01154,P01154,0
D01155,P01155,1
D01156,P01156,0
D01157,P01157,1
D01158,P01158,0
D01159,P01159,1
D01160,P01160,0
D01161,P01161,1
D01162,P01162,0
D01163,P01163,1
D01164,P01164,0
D01165,P01165,1
D01166,P01166,0
D01167,P01167,1
D01168,P01168,0
D01169,P01169,0
D01170,P01170,1
D01171,P01171,0
D01172,P01172,1
D01173,P01173,0
D01174,P01174,1
D01175,P01175,0
D01176,P01176,1
D01177,P01177,0
D01178,P01178,1
D01179,P01179,0
D01180,P01180,1
D01181,P01181,0
D01182,P01182,1
D01183,P01183,0
D01184,P01184,1
D01185,P01185,0
D01186,P01186,1
D01187,P01187,0
D01188,P01188,1
D01189,P01189,0
D01190,P01190,1
D01191,P01191,0
D01192,P01192,1
D01193,P01193,0
D01194,P01194,1
D01195,P01195,0
D01196,P01196,1
D01197,P01197,0
D01198,P01198,1
D01199,P01199,0
D01200,P01200,1
D01201,P01201,0
D01202,P01202,1
D01203,P01203,0
D01204,P01204,1
D01205,P01205,0
D01206,P01206,1
D01207,P01207,0
D01208,P01208,1
D01209,P01209,0
D01210,P01210,1
D01211,P01211,0
D01212,P01212,1
D01213,P01213,0
D01214,P01214,1
D01215,P01215,0
D01216,P01216,1
D01217,P01217,0
D01218,P01218,1
D01219,P01219,0
D01220,P01220,1
D01221,P01221,0
D01222,P01222,1
D01223,P01223,0
D01224,P01224,1
D01225,P01225,0
D01226,P01226,1
D01227,P01227,0
D01228,P01228,1
D01229,P01229,0
D01230,P01230,1
D01231,P01231,0
D01232,P01232,1
D01233,P01233,0
D01234,P01234,1
D01235,P01235,0
D01236,P01236,1
D01237,P01237,0
D01238,P01238,1
D01239,P01239,0
D01240,P01240,1
D01241,P01241,0
D01242,P01242,1
D01243,P01243,0
D01244,P01244,1
D01245,P01245,0
D01246,P01246,1
D01247,P01247,0
D01248,P01248,1
D01249,P01249,0
D01250,P01250,1
D01251,P01251,0
D01252,P01252,1
D01253,P01253,0
D01254,P01254,1
D01255,P01255,0
D01256,P01256,1
D01257,P01257,0
D01258,P01258,1
D01259,P01259,0
D01260,P01260,1
D01261,P01261,0
D01262,P01262,1
D01263,P01263,0
D01264,P01264,1
D01265,P01265,0
D01266,P01266,1
D01267,P01267,0
D01268,P01268,1
D01269,P01269,0
D01270,P01270,1
D01271,P01271,0
D01272,P01272,1
D01273,P01273,0
D01274,P01274,1
D01275,P01275,0
D01276,P01276,1
D01277,P01277,0
D01278,P01278,1
D01279,P01279,0
D01280,P01280,1
D01281,P01281,0
D01282,P01282,1
D01283,P01283,0
D01284,P01284,1
D01285,P01285,0
D01286,P01286,1
D01287,P01287,0
D01288,P01288,1
D01289,P01289,0
D01290,P01290,1
D01291,P01291,0
D01292,P01292,1
D01293,P01293,0
D01294,P01294,0
D01295,P01295,1
D01296,P01296,0
D01297,P01297,1
D01298,P01298,0
D01299,P01299,1
D01300,P01300,0
D01301,P01301,1
D01302,P01302,1
D01303,P01303,0
D01304,P01304,1
D01305,P01305,0
D01306,P01306,1
D01307,P01307,0
D01308,P01308,1
D01309,P01309,0
D01310,P01310,1
D01311,P01311,0
D01312,P01312,1
D01313,P01313,0
D01314,P01314,1
D01315,P01315,0
D01316,P01316,1
D01317,P01317,0
D01318,P01318,1
D01319,P01319,0
D01320,P01320,1
D01321,P01321,0
D01322,P01322,1
D01323,P01323,0
D01324,P01324,1
D01325,P01325,0
D01326,P01326,1
D01327,P01327,0
D01328,P01328,1
D01329,P01329,0
D01330,P01330,1
D01331,P01331,0
D01332,P01332,1
D01333,P01333,0
D01334,P01334,1
D01335,P01335,0
D01336,P01336,1
D01337,P01337,0
D01338,P01338,1
D01339,P01339,0
D01340,P01340,1
D01341,P01341,0
D01342,P01342,1
D01343,P01343,0
D01344,P01344,1
D01345,P01345,0
D01346,P01346,1
D01347,P01347,0
D01348,P01348,1
D01349,P01349,0
D01350,P01350,1
D01351,P01351,0
D01352,P01352,1
D01353,P01353,0
D01354,P01354,1
D01355,P01355,0
D01356,P01356,1
D01357,P01357,0
D01358,P01358,1
D01359,P01359,0
D01360,P01360,1
D01361,P01361,0
D01362,P01362,1
D01363,P01363,0
D01364,P01364,1
D01365,P01365,0
D01366,P01366,1
D01367,P01367,0
D01368,P01368,1
D01369,P01369,0
D01370,P01370,1
D01371,P01371,0
D01372,P01372,1
D01373,P01373,0
D01374,P01374,1
D01375,P01375,0
D01376,P01376,1
D01377,P01377,0
D01378,P01378,1
D01379,P01379,0
D01380,P01380,1
D01381,P01381,0
D01382,P01382,1
D01383,P01383,0
D01384,P01384,1
D01385,P01385,0
D01386,P01386,1
D01387,P01387,0
D01388,P01388,1
D01389,P01389,0
D01390,P01390,1
D01391,P01391,0
D01392,P01392,1
D01393,P01393,0
D01394,P01394,1
D01395,P01395,0
D01396,P01396,1
