protein_id,sequence
P00221,Q96Q40
P00222,P18825
P00223,Q9Y691
P00224,Q9UQQ2
P00225,Q16558
P00226,P02919
P00227,P24941
P00228,P11229
P00229,P24530
P00230,Q05655
P00231,Q13547
P00232,P09884
P00233,Q9NVH6
P00234,Q16445
P00235,P35913
P00236,P21728
P00237,O60706
P00238,P54577
P00239,P23921
P00240,P18825
P00241,Q96RD7
P00242,P23743
P00243,Q6IB77
P00244,P05023
P00245,P15336
P00246,Q8WYK2
P00247,Q13956
P00248,P41180
P00249,P28335
P00250,Q09428
P00251,Q75Y35
P00252,P26951
P00253,Q8IVH4
P00254,Q9UI33
P00255,P41143
P00256,P0ADY7
P00257,P47870
P00258,Q02809
P00259,P63316
P00260,Q12797
P00261,Q05586
P00262,P19878
P00263,P04150
P00264,P01579
P00265,P08908
P00266,Q13370
P00267,P27708
P00268,Q16853
P00269,P0A749
P00270,O67854
P00271,P00390
P00272,P14735
P00273,Q14003
P00274,P09488
P00275,P23975
P00276,O43451
P00277,P07550
P00278,P55809
P00279,Q15822
P00280,Q14626
P00281,O60513
P00282,O95749
P00283,P28476
P00284,P42685
P00285,P43681
P00286,Q9F0I5
P00287,P07550
P00288,P0A749
P00289,P17787
P00290,P18858
P00291,P35348
P00292,P05091
P00293,P25100
P00294,Q5SHN7
P00295,P10828
P00296,P10827
P00297,P35372
P00298,O14880
P00299,P63316
P00300,P61497
P00301,P55809
P00302,Q9GZT9
P00303,Q92769
P00304,O60656
P00305,Q14721
P00306,P23284
P00307,O60840
P00308,P13945
P00309,P35354
P00310,P45880
P00311,P01375
P00312,P34903
P00313,P31644
P00314,P54687
P00315,P25100
P00316,Q14697
P00317,Q16671
P00318,P11678
P00319,Q9H2S1
P00320,P49763
P00321,P35354
P00322,P24024
P00323,P43700
P00324,P42263
P00325,P18507
P00326,Q96LZ3
P00327,A2QLK4
P00328,P07510
P00329,P26640
P00330,Q7L0J3
P00331,P11473
P00332,P08373
P00333,P23219
P00334,Q9Y666
P00335,P28472
P00336,Q9Y257
P00337,P38606
P00338,P06715
P00339,P11388
P00340,Q92953
P00341,O00180
P00342,P53985
P00343,Q13393
P00344,P46597
P00345,Q9NY72
P00346,P24666
P00347,P25021
P00348,Q9NR82
P00349,Q9Y4U1
P00350,P11511
P00351,Q9UK17
P00352,O95342
P00353,P35348
P00354,P98066
P00355,P35354
P00356,Q8TET4
P00357,P21917
P00358,O60294
P00359,P14867
P00360,P23284
P00361,Q12809
P00362,Q8IVL6
P00363,P02918
P00364,P09619
P00365,P35348
P00366,Q9Y5R2
P00367,P18089
P00368,P51170
P00369,Q9NYK1
P00370,P14416
P00371,P30049
P00372,P24385
P00373,Q96SL4
P00374,P11388
P00375,Q9LAG2
P00376,P54368
P00377,O75715
P00378,P21728
P00379,P05108
P00380,Q47PU3
P00381,Q00266
P00382,P00915
P00383,P68366
P00384,P25101
P00385,P15538
P00386,P35462
P00387,P29474
P00388,P10636
P00389,O60909
P00390,P80404
P00391,O95907
P00392,P28335
P00393,P49788
P00394,O00591
P00395,Q9UN88
P00396,P08912
P00397,Q49184
P00398,P20309
P00399,Q69600
P00400,P14416
P00401,P53608
P00402,P08913
P00403,Q99928
P00404,P04150
P00405,P23297
P00406,Q08289
P00407,P11309
P00408,O00591
P00409,P51512
P00410,P05093
P00411,Q01668
P00412,O75469
P00413,Q16775
P00414,P20839
P00415,Q969P6
P00416,P43116
P00417,Q60FT7
P00418,P0A3M6
P00419,Q07021
P00420,Q16445
P00421,P0A7V3
P00422,P04150
P00423,O60603
P00424,Q16445
P00425,Q96LZ3
P00426,P18089
P00427,P17735
P00428,Q9UP95
P00429,Q9H169
P00430,P04150
P00431,O15403
P00432,P20309
P00433,P13196
P00434,Q9UN88
P00435,P02746
P00436,P03372
P00437,Q9HAB3
P00438,P59796
P00439,Q9NS85
P00440,P52895
P00441,O14842
P00442,P18089
P00443,P28861
P00444,P35372
P00445,P02671
P00446,Q9UN88
P00447,P28222
P00448,P07202
P00449,Q07699
P00450,Q9NPA1
P00451,Q9HCC0
P00452,P07949
P00453,P59796
P00454,P11388
P00455,P60723
P00456,Q16873
P00457,P37288
P00458,P00734
P00459,O75891
P00460,P46098
P00461,Q93088
P00462,Q12809
P00463,P11229
P00464,O00591
P00465,P41972
P00466,P41143
P00467,Q13621
P00468,P13674
P00469,P30872
P00470,P25103
P00471,P25100
P00472,P28335
P00473,P07202
P00474,P78334
P00475,O94760
P00476,Q05586
P00477,P20309
P00478,P05023
P00479,P21462
P00480,Q04782
P00481,Q9Y2U5
P00482,P78334
P00483,Q9Y2D0
P00484,P28223
P00485,P18850
P00486,P28223
P00487,P19652
P00488,Q8TCU5
P00489,P35408
P00490,P21918
P00491,P21462
P00492,P47870
P00493,P15291
P00494,Q01959
P00495,P26951
P00496,P25100
P00497,P20586
P00498,P14416
P00499,P11137
P00500,P47869
P00501,P05129
P00502,P35367
P00503,P23921
P00504,P10275
P00505,Q99584
P00506,P35354
P00507,P12259
P00508,P14416
P00509,P30926
P00510,P20309
P00511,P08243
P00512,P21918
P00513,Q9BZV3
P00514,P0A7V8
P00515,Q13183
P00516,P07550
P00517,P07948
P00518,Q8TCU5
P00519,Q9Y234
P00520,P36544
P00521,P26951
P00522,Q9UNX9
P00523,P26640
P00524,P14867
P00525,A5X5Y0
P00526,Q8XJ01
P00527,P50281
P00528,O00459
P00529,O94760
P00530,P31645
P00531,O14732
P00532,P21728
P00533,P99999
P00534,Q99928
P00535,P05412
P00536,P08908
P00537,P11511
P00538,P14416
P00539,P37023
P00540,P08172
P00541,Q14534
P00542,O31616
P00543,P21281
P00544,P05023
P00545,O60760
P00546,P25100
P00547,P50052
P00548,Q13224
P00549,Q15759
P00550,P36544
P00551,P07766
P00552,Q09428
P00553,P22570
P00554,P07203
P00555,P52333
P00556,O14920
P00557,P53608
P00558,P08172
P00559,O14727
P00560,P10253
P00561,P0AFI5
P00562,P28476
P00563,Q16445
P00564,P35869
P00565,P19801
P00566,P05023
P00567,Q02641
P00568,P22894
P00569,P30085
P00570,P20309
P00571,Q9H4B7
P00572,P14867
P00573,P08519
P00574,P14770
P00575,Q15111
P00576,P04150
P00577,Q06AK7
P00578,P30536
P00579,P24232
P00580,P22303
P00581,P40261
P00582,Q86W47
P00583,P11362
P00584,P10646
P00585,Q7L3T8
P00586,Q9UKV0
P00587,Q9UN88
P00588,Q16832
P00589,P43088
P00590,P42345
P00591,P31644
P00592,P09252
P00593,P04049
P00594,P30085
P00595,P18825
P00596,P0AEB2
P00597,P11137
P00598,P02649
P00599,P14416
P00600,Q8IZS8
P00601,P48048
P00602,P47870
P00603,Q7CRA4
P00604,Q16671
P00605,Q9UI33
P00606,P98066
P00607,O14764
P00608,O00459
P00609,P35462
P00610,P00914
P00611,P21728
P00612,P01024
P00613,P23975
P00614,P20813
P00615,O14764
P00616,P62937
P00617,Q13936
P00618,P21802
P00619,P78334
P00620,O60669
P00621,P28476
P00622,P07098
P00623,P11388
P00624,P31785
P00625,P35348
P00626,P55157
P00627,P14555
P00628,Q92206
P00629,O75311
P00630,O60656
P00631,P08172
P00632,P35218
P00633,P37231
P00634,P30049
P00635,P28335
P00636,O15460
P00637,Q99735
P00638,P28702
P00639,P18505
P00640,P48169
P00641,Q08499
P00642,P50406
P00643,P28702
P00644,P40238
P00645,Q15842
P00646,P02918
P00647,P34903
P00648,P0A7S3
P00649,Q99928
P00650,P46098
P00651,P37231
P00652,P54219
P00653,P14416
P00654,Q9H2M3
P00655,P35367
P00656,P08506
P00657,Q75Y35
P00658,P16473
P00659,P23415
P00660,Q15858
P00661,P0AEZ1
P00662,P42593
P00663,P14416
P00664,Q51504
P00665,P31645
P00666,P10828
P00667,P35462
P00668,P48651
P00669,P08913
P00670,P37062
P00671,P43702
P00672,O00264
P00673,Q7CRA4
P00674,P08253
P00675,Q969P6
P00676,P10635
P00677,O95831
P00678,P06858
P00679,Q92731
P00680,P29120
P00681,Q01959
P00682,O95342
P00683,P08254
P00684,P08253
P00685,P33673
P00686,P28566
P00687,Q9HA77
P00688,O95954
P00689,P00742
P00690,Q08257
P00691,P42338
P00692,P28335
P00693,P42261
P00694,P01189
P00695,P12256
P00696,P07333
P00697,P41595
P00698,Q99643
P00699,Q75Y35
P00700,P40306
P00701,P20309
P00702,Q03154
P00703,P0A7S3
P00704,P0A6E4
P00705,P25021
P00706,P35340
P00707,P13569
P00708,O15427
P00709,P35348
P00710,P23434
P00711,P18507
P00712,Q9BXJ7
P00713,P09619
P00714,P06715
P00715,Q9UN88
P00716,P0A3M5
P00717,P18507
P00718,P32927
P00719,P43681
P00720,Q13085
P00721,Q8XJ01
P00722,P03956
P00723,P11229
P00724,Q9BY49
P00725,P22303
P00726,P02794
P00727,P35354
P00728,P06858
P00729,P00582
P00730,P24557
P00731,P32297
P00732,P01579
P00733,Q15825
P00734,P07333
P00735,P03372
P00736,P02708
P00737,O76074
P00738,P94692
P00739,P23921
P00740,P28566
P00741,P05164
P00742,P20839
P00743,P35348
P00744,P01584
P00745,Q09428
P00746,P52569
P00747,P18507
P00748,P05164
P00749,P28223
P00750,Q14524
P00751,P08183
P00752,P44345
P00753,P16499
P00754,P08908
P00755,P78508
P00756,P00742
P00757,O43741
P00758,P18089
P00759,P0C0X1
P00760,P35368
P00761,Q99542
P00762,Q13698
P00763,P11717
P00764,O75469
P00765,Q9HAB3
P00766,P10635
P00767,Q02641
P00768,P08100
P00769,P20701
P00770,P43702
P00771,Q16772
P00772,P30939
P00773,Q9UN76
P00774,P34903
P00775,P30520
P00776,P48169
P00777,P51787
P00778,P30520
P00779,P09546
P00780,P35367
P00781,P11498
P00782,Q05940
P00783,Q04828
P00784,Q9NRF9
P00785,Q9BXI2
P00786,Q15758
P00787,Q9A1X4
P00788,Q53ET4
P00789,P01130
P00790,Q8XJ01
P00791,P28223
P00792,P43681
P00793,Q9NZV8
P00794,P0C0X1
P00795,P16455
P00796,P19793
P00797,P29074
P00798,Q16445
P00799,P54284
P00800,P16220
P00801,P00519
P00802,P21728
P00803,P35354
P00804,P50406
P00805,Q12882
P00806,Q13332
P00807,P04150
P00808,Q16739
P00809,Q16445
P00810,P23945
P00811,Q8DNB6
P00812,P00747
P00813,Q15858
P00814,P23378
P00815,P23945
P00816,P55263
P00817,Q14524
P00818,Q4U2R8
P00819,P28472
P00820,P23458
P00821,P35354
P00822,P34741
P00823,O67854
P00824,P16234
P00825,P48651
P00826,Q07021
P00827,P14867
P00828,P04629
P00829,P14867
P00830,P24232
P00831,P09622
P00832,P28845
P00833,Q72874
P00834,P50747
P00835,P35462
P00836,P21266
P00837,P00491
P00838,Q9UBX3
P00839,P47870
P00840,P23297
P00841,P22303
P00842,Q9NRE1
P00843,P48169
P00844,P06401
P00845,P05106
P00846,P22894
P00847,P14416
P00848,P98194
P00849,O43766
P00850,P43005
P00851,P09884
P00852,Q08257
P00853,Q08828
P00854,O60706
P00855,O14764
P00856,P00918
P00857,P22748
P00858,Q13224
P00859,P28062
P00860,P02585
P00861,P18505
P00862,P22748
P00863,P30049
P00864,P0A0K8
P00865,Q14524
P00866,Q9UJ70
P00867,Q12791
P00868,Q16665
P00869,P06401
P00870,O75762
P00871,P28476
P00872,Q06432
P00873,P35368
P00874,P0A953
P00875,Q9UN88
P00876,P25963
P00877,O15460
P00878,O60488
P00879,P35499
P00880,P47712
P00881,Q9Y619
P00882,Q75Y35
P00883,P54802
P00884,Q7Z2H8
P00885,P27815
P00886,Q9UHI7
P00887,P41595
P00888,P78334
P00889,O14756
P00890,P51788
P00891,P20309
P00892,O95263
P00893,P00918
P00894,Q8RLY5
P00895,P47870
P00896,P96558
P00897,P00390
P00898,Q96RQ3
P00899,Q13085
P00900,Q49184
P00901,Q8TCU5
P00902,Q99460
P00903,Q08493
P00904,P62745
P00905,P37288
P00906,P00914
P00907,Q08499
P00908,P35626
P00909,Q9NXE4
P00910,Q9P0X4
P00911,P08172
P00912,P24093
P00913,P24298
P00914,P56282
P00915,P23975
P00916,P50859
P00917,P23219
P00918,P59796
P00919,P41145
P00920,P01008
P00921,Q71U36
P00922,P49888
P00923,P27907
P00924,Q02763
P00925,P24093
P00926,O14764
P00927,P14679
P00928,P23975
P00929,P30872
P00930,P42338
P00931,P12318
P00932,O00591
P00933,P0AEB2
P00934,P42262
P00935,Q8N8N7
P00936,P02918
P00937,P0A6R0
P00938,P09252
P00939,P0AG59
P00940,P11473
P00941,Q9UI33
P00942,P78559
P00943,Q7RTV2
P00944,P08913
P00945,P42357
P00946,O75936
P00947,P36544
P00948,P11229
P00949,P34741
P00950,P07550
P00951,P35368
P00952,P20276
P00953,P00742
P00954,Q12791
P00955,P34969
P00956,Q9UKG9
P00957,Q9BYF1
P00958,O24990
P00959,P54750
P00960,P49327
P00961,P18505
P00962,Q9UBN7
P00963,P42262
P00964,Q96DP5
P00965,Q01959
P00966,P29074
P00967,P47870
P00968,P00363
P00969,P35372
P00970,P21589
P00971,P14867
P00972,Q06319
P00973,Q05586
P00974,O95180
P00975,P41145
P00976,Q92753
P00977,P24941
P00978,P19652
P00979,P48067
P00980,P35754
P00981,Q72547
P00982,P01023
P00983,P05981
P00984,P09917
P00985,Q9NY59
P00986,P78362
P00987,P0AES6
P00988,Q14524
P00989,Q9KIE5
P00990,P58558
P00991,Q14524
P00992,P20138
P00993,P06241
P00994,Q96LZ3
P00995,Q08289
P00996,P18505
P00997,Q09470
P00998,P15538
P00999,P15559
P01000,Q9NYK1
P01001,P00519
P01002,P04293
P01003,Q16445
P01004,P02751
P01005,P0A7S9
P01006,Q01718
P01007,P16234
P01008,Q9NPC2
P01009,P33402
P01010,Q6GI75
P01011,P07451
P01012,P09488
P01013,Q8XJ01
P01014,Q16322
P01015,P34903
P01016,Q02750
P01017,P00749
P01018,P37063
P01019,Q8IVL6
P01020,P12277
P01021,P18507
P01022,P35916
P01023,P34903
P01024,P00505
P01025,P28335
P01026,P10912
P01027,P41145
P01028,P15144
P01029,P00438
P01030,P04275
P01031,Q14957
P01032,P05231
P01033,P08588
P01034,Q05901
P01035,P35354
P01036,P05091
P01037,P08173
P01038,Q9Y691
P01039,P0A7S3
P01040,Q96PR1
P01041,P08908
P01042,Q9UMX2
P01043,P04035
P01044,P08069
P01045,P18505
P01046,Q9NYK1
P01047,P34969
P01048,Q9NSE4
P01049,P36544
P01050,Q9NR97
P01051,P50406
P01052,Q9BTZ2
P01053,P18089
P01054,O95363
P01055,O15399
P01056,Q2TU84
P01057,P18089
P01058,P04746
P01059,P35354
P01060,P28222
P01061,P08173
P01062,O14788
P01063,P49902
P01064,P48549
P01065,P14416
P01066,P31644
P01067,P00811
P01068,P12676
P01069,P68371
P01070,Q05655
P01071,Q13621
P01072,Q96DP5
P01073,P35368
P01074,Q07343
P01075,P42971
P01076,Q8NET8
P01077,P02679
P01078,P05113
P01079,P08908
P01080,P09884
P01081,P25100
P01082,P50859
P01083,Q9UN88
P01084,P30559
P01085,P02918
P01086,Q9UP95
P01087,P34897
P01088,P53608
P01089,P37231
P01090,P04181
P01091,P14416
P01092,Q9BYC2
P01093,P13631
P01094,P11137
P01095,Q16445
P01096,P07333
P01097,P31644
P01098,P14618
P01099,P28476
P01100,Q969P6
P01101,Q8RLY5
P01102,P26440
P01103,P34903
P01104,Q6NSD4
P01105,P34903
P01106,P14867
P01107,P08172
P01108,P49763
P01109,P14416
P01110,Q9S427
P01111,P14780
P01112,P00352
P01113,Q13332
P01114,P09884
P01115,P48507
P01116,P00918
P01117,P00742
P01118,P30085
P01119,O43526
P01120,P04818
P01121,Q05940
P01122,P02787
P01123,Q16445
P01124,P42593
P01125,P34903
P01126,P21266
P01127,P25100
P01128,P00734
P01129,P23921
P01130,P31358
P01131,P10827
P01132,Q9X6V3
P01133,Q96LZ3
P01134,Q9Y289
P01135,P10275
P01136,P13716
P01137,P08913
P01138,P48061
P01139,O95180
P01140,P50135
P01141,P68371
P01142,O14717
P01143,P16083
P01144,P15509
P01145,P48048
P01146,P10620
P01147,P35372
P01148,P06715
P01149,P18507
P01150,P06746
P01151,P13945
P01152,P48547
P01153,Q06432
P01154,Q9Y285
P01155,P35372
P01156,P29474
P01157,P18505
P01158,Q05486
P01159,P30825
P01160,Q92952
P01161,O60391
P01162,Q9Y271
P01163,P00533
P01164,P37023
P01165,P08912
P01166,P38435
P01167,P51172
P01168,P21281
P01169,P00720
P01170,P00390
P01171,P08908
P01172,Q9ULX7
P01173,P25100
P01174,P35348
P01175,Q15067
P01176,P31644
P01177,P21890
P01178,P28476
P01179,P21462
P01180,P25021
P01181,P13726
P01182,P17658
P01183,Q6NSD4
P01184,P62942
P01185,P54289
P01186,P50416
P01187,Q92781
P01188,O75493
P01189,P06400
P01190,P08913
P01191,P04229
P01192,P18505
P01193,Q9BYC2
P01194,P47869
P01195,P60725
P01196,Q07343
P01197,Q99643
P01198,P10275
P01199,P08588
P01200,O00591
P01201,P49902
P01202,P37747
P01203,Q15825
P01204,P06715
P01205,O76083
P01206,P62508
P01207,Q9Y3R4
P01208,P31645
P01209,Q13183
P01210,Q09428
P01211,O60494
P01212,P34903
P01213,Q8NI22
P01214,Q13936
P01215,P14920
P01216,O43525
P01217,P12532
P01218,Q96KS0
P01219,P13922
P01220,P17540
P01221,O15382
P01222,Q08499
P01223,P24385
P01224,P23219
P01225,O95363
P01226,P08913
P01227,Q14571
P01228,P23416
P01229,Q96RI1
P01230,Q7L5Y9
P01231,P08506
P01232,Q7LG56
P01233,P31213
P01234,P09960
P01235,Q8NFJ5
P01236,Q16790
P01237,P04278
P01238,O14764
P01239,P30926
P01240,Q7CRA4
P01241,P60723
P01242,P28221
P01243,O60760
P01244,P33402
P01245,P37063
P01246,Q8N1C3
P01247,Q96NR8
P01248,P72161
P01249,O43272
P01250,Q9BXA5
P01251,Q9UPY5
P01252,P21917
P01253,P09172
P01254,O95263
P01255,Q16620
P01256,Q99928
P01257,O15375
P01258,P29274
P01259,P49585
P01260,P08172
P01261,P08700
P01262,P28222
P01263,Q9UNX9
P01264,Q14524
P01265,P35218
P01266,P23415
P01267,P15555
P01268,P21728
P01269,P13423
P01270,P47870
P01271,P38606
P01272,P11511
P01273,P08620
P01274,P36544
P01275,O75936
P01276,P50406
P01277,P21549
P01278,P28221
P01279,P30542
P01280,P35348
P01281,P04229
P01282,Q05586
P01283,P76577
P01284,P25100
P01285,Q16647
P01286,P41143
P01287,Q9UDX4
P01288,P0A8T7
P01289,P30872
P01290,P21918
P01291,P00966
P01292,P10275
P01293,P78559
P01294,Q9H4B7
P01295,P35367
P01296,P36507
P01297,Q02218
P01298,P36544
P01299,Q09470
P01300,P21796
P01301,P28702
P01302,P21728
P01303,Q9BY49
P01304,Q13224
P01305,Q02750
P01306,O60658
P01307,Q9Y234
P01308,P10828
P01309,P22891
P01310,P28472
P01311,P51160
P01312,P35348
P01313,P51512
P01314,Q12809
P01315,P55792
P01316,P28472
P01317,P0AEK4
P01318,P21731
P01319,Q01118
P01320,Q14534
P01321,P17948
P01322,Q8IVL5
P01323,P00749
P01324,P08546
P01325,Q9H2X9
P01326,Q8N1C3
P01327,Q13547
P01328,P18505
P01329,P09488
P01330,Q9Y271
P01331,P04293
P01332,P12821
P01333,P04004
P01334,P14416
P01335,Q00975
P01336,P34903
P01337,P14770
P01338,Q99584
P01339,P40306
P01340,P21728
P01341,P35520
P01342,P29274
P01343,P56282
P01344,Q9Y5Y9
P01345,P09546
P01346,O14521
P01347,P38606
P01348,P14416
P01349,Q9Y2J8
P01350,P35348
P01351,Q9P2R7
P01352,O75311
P01353,Q9Y666
P01354,P48169
P01355,Q9UHC9
P01356,P30825
P01357,P46439
P01358,P11229
P01359,P98164
P01360,P15555
P01361,P46098
P01362,Q09428
P01363,P32927
P01364,P35372
P01365,P11310
P01366,Q14654
P01367,P51172
P01368,P21728
P01369,P31639
P01370,P02919
P01371,P08069
P01372,Q14032
P01373,Q9GZT9
P01374,P35348
P01375,P24300
P01376,P18505
P01377,P51168
P01378,Q14524
P01379,Q9NY59
P01380,P00720
P01381,P32754
P01382,P35367
P01383,P0AEB3
P01384,Q12791
P01385,P18925
P01386,P46098
P01387,P00748
P01388,P14867
P01389,Q15046
P01390,P61497
P01391,P43700
P01392,O00305
P01393,Q9AGP8
P01394,P51800
P01395,P09238
P01396,Q99928
P01397,O95573
P01398,P08908
P01399,P49765
P01400,P22303
P01401,Q99928
P01402,Q9Y2I1
P01403,Q8IYQ7
P01404,P09848
P01405,Q13698
P01406,P35368
P01407,O60733
P01408,P18507
P01409,Q07343
P01410,P72525
P01411,O60779
P01412,Q9BQB6
P01413,P00740
P01414,P18545
P01415,Q07912
P01416,Q99928
P01417,Q02156
P01418,P14416
P01419,P30556
P01420,P08908
P01421,P18507
P01422,P07949
P01423,P30531
P01424,Q92731
P01425,P47898
P01426,P30968
P01427,P01920
P01428,P17787
P01429,P06858
P01430,P35367
P01431,O14746
P01432,P05165
P01433,P77967
P01434,Q12809
P01435,P00747
P01436,P47870
P01437,Q9X6V3
P01438,P14416
P01439,P62508
P01440,P28861
P01441,Q16790
P01442,P48169
P01443,P54750
P01444,Q09470
P01445,P20815
P01446,Q01959
P01447,O60513
P01448,A8MPY1
P01449,Q8IVL5
P01450,P78334
P01451,Q8NER1
P01452,P08913
P01453,P43116
P01454,Q9H3N8
P01455,P22891
P01456,P18089
P01457,Q14626
P01458,P46098
P01459,P45844
P01460,P18825
P01461,O43246
P01462,P14416
P01463,P09237
P01464,P35372
P01465,P11388
P01466,P00915
P01467,P29275
P01468,Q8WU03
P01469,P07307
P01470,O00591
P01471,P00387
P01472,Q5SL87
P01473,Q9UM73
P01474,P11137
P01475,P11229
P01476,O15382
P01477,P08908
P01478,P13631
P01479,P36507
P01480,P35462
P01481,P08183
P01482,P10109
P01483,P31644
P01484,P54646
P01485,P30556
P01486,Q16832
P01487,P28222
P01488,P08684
P01489,P04818
P01490,P13866
P01491,Q6TGC4
P01492,P08631
P01493,Q13002
P01494,Q04771
P01495,P34903
P01496,Q99519
P01497,Q9UBK8
P01498,Q07837
P01499,P31995
P01500,P00740
P01501,P49146
P01502,P01189
P01503,P12104
P01504,Q13936
P01505,P21281
P01506,Q05586
P01507,P59796
P01508,P02919
P01509,P07225
P01510,Q70KI2
P01511,Q9BW92
P01512,P23921
P01513,P43166
P01514,P07437
P01515,P0A7Z4
P01516,P14416
P01517,P31040
P01518,P0AD65
P01519,P09238
P01520,Q08289
P01521,P24046
P01522,P0AEB2
P01523,Q16881
P01524,P0A0N4
P01525,P06149
P01526,P14416
P01527,Q9UPY5
P01528,P08913
P01529,Q96I59
P01530,P01375
P01531,P49721
P01532,Q9Y4W6
P01533,P13631
P01534,P51168
P01535,P08506
P01536,P31213
P01537,Q00975
P01538,P04150
P01539,Q14573
P01540,P21918
P01541,P11498
P01542,P21728
P01543,Q8IVH4
P01544,P41143
P01545,P35228
P01546,P23975
P01547,P51800
P01548,O60391
P01549,P43702
P01550,P0AD68
P01551,P29120
P01552,P03886
P01553,Q9KIE5
P01554,P23975
P01555,Q05655
P01556,Q9NR97
P01557,P02671
P01558,Q92952
P01559,P04156
P01560,P41145
P01561,P17252
P01562,Q75Y35
P01563,P08263
P01564,P31644
P01565,Q08499
P01566,P34903
P01567,P23297
P01568,O95881
P01569,O15460
P01570,P48169
P01571,Q9BVG9
P01572,Q12879
P01573,P51172
P01574,P14867
P01575,Q07699
P01576,P51172
P01577,O60294
P01578,O00305
P01579,P23219
P01580,Q9Y2D0
P01581,P29275
P01582,Q9NRE1
P01583,Q16790
P01584,P28472
P01585,P23975
P01586,Q9Y5Y9
P01587,P01106
P01588,P31645
P01589,P48551
P01590,P28335
P01591,Q12809
P01592,P18825
P01593,P00519
P01594,Q9UN88
P01595,P02747
P01596,P50440
P01597,Q9UHI7
P01598,P41145
P01599,Q9H2S1
P01600,P31645
P01601,Q16790
P01602,P10696
P01603,Q16760
P01604,P28221
