drug_id,protein_id,interaction,split
D00176,P00176,175.0,train
D00177,P00177,176.0,train
D00178,P00178,177.0,train
D00179,P00179,178.0,train
D00180,P00180,179.0,train
D00181,P00181,180.0,train
D00182,P00182,181.0,train
D00183,P00183,182.0,train
D00184,P00184,183.0,train
D00185,P00185,184.0,train
D00186,P00186,185.0,train
D00187,P00187,186.0,train
D00188,P00188,187.0,train
D00189,P00189,188.0,train
D00190,P00190,189.0,train
D00191,P00191,190.0,train
D00192,P00192,191.0,train
D00193,P00193,192.0,train
D00194,P00194,193.0,train
D00195,P00195,194.0,train
D00196,P00196,195.0,train
D00197,P00197,196.0,train
D00198,P00198,197.0,train
D00199,P00199,198.0,train
D00200,P00200,199.0,train
D00201,P00201,200.0,train
D00202,P00202,201.0,train
D00203,P00203,202.0,train
D00204,P00204,203.0,train
D00205,P00205,204.0,train
D00206,P00206,205.0,train
D00207,P00207,206.0,train
D00208,P00208,207.0,train
D00209,P00209,208.0,train
D00210,P00210,209.0,train
D00211,P00211,210.0,train
D00212,P00212,211.0,train
D00213,P00213,212.0,train
D00214,P00214,213.0,train
D00215,P00215,214.0,train
D00216,P00216,215.0,train
D00217,P00217,216.0,train
D00218,P00218,217.0,train
D00219,P00219,218.0,train
D00220,P00220,219.0,train
D00221,P00221,220.0,train
D00222,P00222,221.0,train
D00223,P00223,222.0,train
D00224,P00224,223.0,train
D00225,P00225,224.0,train
D00226,P00226,225.0,train
D00227,P00227,226.0,train
D00228,P00228,227.0,train
D00229,P00229,228.0,train
D00230,P00230,229.0,train
D00231,P00231,230.0,train
D00232,P00232,231.0,train
D00233,P00233,232.0,train
D00234,P00234,233.0,train
D00235,P00235,234.0,train
D00236,P00236,235.0,train
D00237,P00237,236.0,train
D00238,P00238,237.0,train
D00239,P00239,238.0,train
D00240,P00240,239.0,train
D00241,P00241,240.0,train
D00242,P00242,241.0,train
D00243,P00243,242.0,train
D00244,P00244,243.0,train
D00245,P00245,244.0,train
D00246,P00246,245.0,train
D00247,P00247,246.0,train
D00248,P00248,247.0,train
D00249,P00249,248.0,train
D00250,P00250,249.0,train
D00251,P00251,250.0,train
D00252,P00252,251.0,train
D00253,P00253,252.0,train
D00254,P00254,253.0,train
D00255,P00255,254.0,train
D00256,P00256,255.0,train
D00257,P00257,256.0,train
D00258,P00258,257.0,train
D00259,P00259,258.0,train
D00260,P00260,259.0,train
D00261,P00261,260.0,train
D00262,P00262,261.0,train
D00263,P00263,262.0,train
D00264,P00264,263.0,train
D00265,P00265,264.0,train
D00266,P00266,265.0,train
D00267,P00267,266.0,train
D00268,P00268,267.0,train
D00269,P00269,268.0,train
D00270,P00270,269.0,train
D00271,P00271,270.0,train
D00272,P00272,271.0,train
D00273,P00273,272.0,train
D00274,P00274,273.0,train
D00275,P00275,274.0,train
D00276,P00276,275.0,train
D00277,P00277,276.0,train
D00278,P00278,277.0,train
D00279,P00279,278.0,train
D00280,P00280,279.0,train
D00281,P00281,280.0,train
D00282,P00282,281.0,train
D00283,P00283,282.0,train
D00284,P00284,283.0,train
D00285,P00285,284.0,train
D00286,P00286,285.0,train
D00287,P00287,286.0,train
D00288,P00288,287.0,train
D00289,P00289,288.0,train
D00290,P00290,289.0,train
D00291,P00291,290.0,train
D00292,P00292,291.0,train
D00293,P00293,292.0,train
D00294,P00294,293.0,train
D00295,P00295,294.0,train
D00296,P00296,295.0,train
D00297,P00297,296.0,train
D00298,P00298,297.0,train
D00299,P00299,298.0,train
D00300,P00300,299.0,train
D00301,P00301,300.0,train
D00302,P00302,301.0,train
D00303,P00303,302.0,train
D00304,P00304,303.0,train
D00305,P00305,304.0,train
D00306,P00306,305.0,train
D00307,P00307,306.0,train
D00308,P00308,307.0,train
D00309,P00309,308.0,train
D00310,P00310,309.0,train
D00311,P00311,310.0,train
D00312,P00312,311.0,train
D00313,P00313,312.0,train
D00314,P00314,313.0,train
D00315,P00315,314.0,train
D00316,P00316,315.0,train
D00317,P00317,316.0,train
D00318,P00318,317.0,train
D00319,P00319,318.0,train
D00320,P00320,319.0,train
D00321,P00321,320.0,train
D00322,P00322,321.0,train
D00323,P00323,322.0,train
D00324,P00324,323.0,train
D00325,P00325,324.0,train
D00326,P00326,325.0,train
D00327,P00327,326.0,train
D00328,P00328,327.0,train
D00329,P00329,328.0,train
D00330,P00330,329.0,train
D00331,P00331,330.0,train
D00332,P00332,331.0,train
D00333,P00333,332.0,train
D00334,P00334,333.0,train
D00335,P00335,334.0,train
D00336,P00336,335.0,train
D00337,P00337,336.0,train
D00338,P00338,337.0,train
D00339,P00339,338.0,train
D00340,P00340,339.0,train
D00341,P00341,340.0,train
D00342,P00342,341.0,train
D00343,P00343,342.0,train
D00344,P00344,343.0,train
D00345,P00345,344.0,train
D00346,P00346,345.0,train
D00347,P00347,346.0,train
D00348,P00348,347.0,train
D00349,P00349,348.0,train
D00350,P00350,349.0,train
D00351,P00351,350.0,train
D00352,P00352,351.0,train
D00353,P00353,352.0,train
D00354,P00354,353.0,train
D00355,P00355,354.0,train
D00356,P00356,355.0,train
D00357,P00357,356.0,train
D00358,P00358,357.0,train
D00359,P00359,358.0,train
D00360,P00360,359.0,train
D00361,P00361,360.0,train
D00362,P00362,361.0,train
D00363,P00363,362.0,train
D00364,P00364,363.0,train
D00365,P00365,364.0,train
D00366,P00366,365.0,train
D00367,P00367,366.0,train
D00368,P00368,367.0,train
D00369,P00369,368.0,train
D00370,P00370,369.0,train
D00371,P00371,370.0,train
D00372,P00372,371.0,train
D00373,P00373,372.0,train
D00374,P00374,373.0,train
D00375,P00375,374.0,train
D00376,P00376,375.0,train
D00377,P00377,376.0,train
D00378,P00378,377.0,train
D00379,P00379,378.0,train
D00380,P00380,379.0,train
D00381,P00381,380.0,train
D00382,P00382,381.0,train
D00383,P00383,382.0,train
D00384,P00384,383.0,train
D00385,P00385,384.0,train
D00386,P00386,385.0,train
D00387,P00387,386.0,train
D00388,P00388,387.0,train
D00389,P00389,388.0,train
D00390,P00390,389.0,train
D00391,P00391,390.0,train
D00392,P00392,391.0,train
D00393,P00393,392.0,train
D00394,P00394,393.0,train
D00395,P00395,394.0,train
D00396,P00396,395.0,train
D00397,P00397,396.0,train
D00398,P00398,397.0,train
D00399,P00399,398.0,train
D00400,P00400,399.0,train
D00401,P00401,400.0,train
D00402,P00402,401.0,train
D00403,P00403,402.0,train
D00404,P00404,403.0,train
D00405,P00405,404.0,train
D00406,P00406,405.0,train
D00407,P00407,406.0,train
D00408,P00408,407.0,train
D00409,P00409,408.0,train
D00410,P00410,409.0,train
D00411,P00411,410.0,train
D00412,P00412,411.0,train
D00413,P00413,412.0,train
D00414,P00414,413.0,train
D00415,P00415,414.0,train
D00416,P00416,415.0,train
D00417,P00417,416.0,train
D00418,P00418,417.0,train
D00419,P00419,418.0,train
D00420,P00420,419.0,train
D00421,P00421,420.0,train
D00422,P00422,421.0,train
D00423,P00423,422.0,train
D00424,P00424,423.0,train
D00425,P00425,424.0,train
D00426,P00426,425.0,train
D00427,P00427,426.0,train
D00428,P00428,427.0,train
D00429,P00429,428.0,train
D00430,P00430,429.0,train
D00431,P00431,430.0,train
D00432,P00432,431.0,train
D00433,P00433,432.0,train
D00434,P00434,433.0,train
D00435,P00435,434.0,train
D00436,P00436,435.0,train
D00437,P00437,436.0,train
D00438,P00438,437.0,train
D00439,P00439,438.0,train
D00440,P00440,439.0,train
D00441,P00441,440.0,train
D00442,P00442,441.0,train
D00443,P00443,442.0,train
D00444,P00444,443.0,train
D00445,P00445,444.0,train
D00446,P00446,445.0,train
D00447,P00447,446.0,train
D00448,P00448,447.0,train
D00449,P00449,448.0,train
D00450,P00450,449.0,train
D00451,P00451,450.0,train
D00452,P00452,451.0,train
D00453,P00453,452.0,train
D00454,P00454,453.0,train
D00455,P00455,454.0,train
D00456,P00456,455.0,train
D00457,P00457,456.0,train
D00458,P00458,457.0,train
D00459,P00459,458.0,train
D00460,P00460,459.0,train
D00461,P00461,460.0,train
D00462,P00462,461.0,train
D00463,P00463,462.0,train
D00464,P00464,463.0,train
D00465,P00465,464.0,train
D00466,P00466,465.0,train
D00467,P00467,466.0,train
D00468,P00468,467.0,train
D00469,P00469,468.0,train
D00470,P00470,469.0,train
D00471,P00471,470.0,train
D00472,P00472,471.0,train
D00473,P00473,472.0,train
D00474,P00474,473.0,train
D00475,P00475,474.0,train
D00476,P00476,475.0,train
D00477,P00477,476.0,train
D00478,P00478,477.0,train
D00479,P00479,478.0,train
D00480,P00480,479.0,train
D00481,P00481,480.0,train
D00482,P00482,481.0,train
D00483,P00483,482.0,train
D00484,P00484,483.0,train
D00485,P00485,484.0,train
D00486,P00486,485.0,train
D00487,P00487,486.0,train
D00488,P00488,487.0,train
D00489,P00489,488.0,train
D00490,P00490,489.0,train
D00491,P00491,490.0,train
D00492,P00492,491.0,train
D00493,P00493,492.0,train
D00494,P00494,493.0,train
D00495,P00495,494.0,train
D00496,P00496,495.0,train
D00497,P00497,496.0,train
D00498,P00498,497.0,train
D00499,P00499,498.0,train
D00500,P00500,499.0,train
D00501,P00501,500.0,train
D00502,P00502,501.0,train
D00503,P00503,502.0,train
D00504,P00504,503.0,train
D00505,P00505,504.0,train
D00506,P00506,505.0,train
D00507,P00507,506.0,train
D00508,P00508,507.0,train
D00509,P00509,508.0,train
D00510,P00510,509.0,train
D00511,P00511,510.0,train
D00512,P00512,511.0,train
D00513,P00513,512.0,train
D00514,P00514,513.0,train
D00515,P00515,514.0,train
D00516,P00516,515.0,train
D00517,P00517,516.0,train
D00518,P00518,517.0,train
D00519,P00519,518.0,train
D00520,P00520,519.0,train
D00521,P00521,520.0,train
D00522,P00522,521.0,train
D00523,P00523,522.0,train
D00524,P00524,523.0,train
D00525,P00525,524.0,train
D00526,P00526,525.0,train
D00527,P00527,526.0,train
D00528,P00528,527.0,train
D00529,P00529,528.0,train
D00530,P00530,529.0,train
D00531,P00531,530.0,train
D00532,P00532,531.0,train
D00533,P00533,532.0,train
D00534,P00534,533.0,train
D00535,P00535,534.0,train
D00536,P00536,535.0,train
D00537,P00537,536.0,train
D00538,P00538,537.0,train
D00539,P00539,538.0,train
D00540,P00540,539.0,train
D00541,P00541,540.0,train
D00542,P00542,541.0,train
D00543,P00543,542.0,train
D00544,P00544,543.0,train
D00545,P00545,544.0,train
D00546,P00546,545.0,train
D00547,P00547,546.0,train
D00548,P00548,547.0,train
D00549,P00549,548.0,train
D00550,P00550,549.0,train
D00551,P00551,550.0,train
D00552,P00552,551.0,train
D00553,P00553,552.0,train
D00554,P00554,553.0,train
D00555,P00555,554.0,train
D00556,P00556,555.0,train
D00557,P00557,556.0,train
D00558,P00558,557.0,train
D00559,P00559,558.0,train
D00560,P00560,559.0,train
D00561,P00561,560.0,train
D00562,P00562,561.0,train
D00563,P00563,562.0,train
D00564,P00564,563.0,train
D00565,P00565,564.0,train
D00566,P00566,565.0,train
D00567,P00567,566.0,train
D00568,P00568,567.0,train
D00569,P00569,568.0,train
D00570,P00570,569.0,train
D00571,P00571,570.0,train
D00572,P00572,571.0,train
D00573,P00573,572.0,train
D00574,P00574,573.0,train
D00575,P00575,574.0,train
D00576,P00576,575.0,train
D00577,P00577,576.0,train
D00578,P00578,577.0,train
D00579,P00579,578.0,train
D00580,P00580,579.0,train
D00581,P00581,580.0,train
D00582,P00582,581.0,train
D00583,P00583,582.0,train
D00584,P00584,583.0,train
D00585,P00585,584.0,train
D00586,P00586,585.0,train
D00587,P00587,586.0,train
D00588,P00588,587.0,train
D00589,P00589,588.0,train
D00590,P00590,589.0,train
D00591,P00591,590.0,train
D00592,P00592,591.0,train
D00593,P00593,592.0,train
D00594,P00594,593.0,train
D00595,P00595,594.0,train
D00596,P00596,595.0,train
D00597,P00597,596.0,train
D00598,P00598,597.0,train
D00599,P00599,598.0,train
D00600,P00600,599.0,train
D00601,P00601,600.0,train
D00602,P00602,601.0,train
D00603,P00603,602.0,train
D00604,P00604,603.0,train
D00605,P00605,604.0,train
D00606,P00606,605.0,train
D00607,P00607,606.0,train
D00608,P00608,607.0,train
D00609,P00609,608.0,train
D00610,P00610,609.0,train
D00611,P00611,610.0,train
D00612,P00612,611.0,train
D00613,P00613,612.0,train
D00614,P00614,613.0,train
D00615,P00615,614.0,train
D00616,P00616,615.0,train
D00617,P00617,616.0,train
D00618,P00618,617.0,train
D00619,P00619,618.0,train
D00620,P00620,619.0,train
D00621,P00621,620.0,train
D00622,P00622,621.0,train
D00623,P00623,622.0,train
D00624,P00624,623.0,train
D00625,P00625,624.0,train
D00626,P00626,625.0,train
D00627,P00627,626.0,train
D00628,P00628,627.0,train
D00629,P00629,628.0,train
D00630,P00630,629.0,train
D00631,P00631,630.0,train
D00632,P00632,631.0,train
D00633,P00633,632.0,train
D00634,P00634,633.0,train
D00635,P00635,634.0,train
D00636,P00636,635.0,train
D00637,P00637,636.0,train
D00638,P00638,637.0,train
D00639,P00639,638.0,train
D00640,P00640,639.0,train
D00641,P00641,640.0,train
D00642,P00642,641.0,train
D00643,P00643,642.0,train
D00644,P00644,643.0,train
D00645,P00645,644.0,train
D00646,P00646,645.0,train
D00647,P00647,646.0,train
D00648,P00648,647.0,train
D00649,P00649,648.0,train
D00650,P00650,649.0,train
D00651,P00651,650.0,train
D00652,P00652,651.0,train
D00653,P00653,652.0,train
D00654,P00654,653.0,train
D00655,P00655,654.0,train
D00656,P00656,655.0,train
D00657,P00657,656.0,train
D00658,P00658,657.0,train
D00659,P00659,658.0,train
D00660,P00660,659.0,train
D00661,P00661,660.0,train
D00662,P00662,661.0,train
D00663,P00663,662.0,train
D00664,P00664,663.0,train
D00665,P00665,664.0,train
D00666,P00666,665.0,train
D00667,P00667,666.0,train
D00668,P00668,667.0,train
D00669,P00669,668.0,train
D00670,P00670,669.0,train
D00671,P00671,670.0,train
D00672,P00672,671.0,train
D00673,P00673,672.0,train
D00674,P00674,673.0,train
D00675,P00675,674.0,train
D00676,P00676,675.0,train
D00677,P00677,676.0,train
D00678,P00678,677.0,train
D00679,P00679,678.0,train
D00680,P00680,679.0,train
D00681,P00681,680.0,train
D00682,P00682,681.0,train
D00683,P00683,682.0,train
D00684,P00684,683.0,train
D00685,P00685,684.0,train
D00686,P00686,685.0,train
D00687,P00687,686.0,train
D00688,P00688,687.0,train
D00689,P00689,688.0,train
D00690,P00690,689.0,train
D00691,P00691,690.0,train
D00692,P00692,691.0,train
D00693,P00693,692.0,train
D00694,P00694,693.0,train
D00695,P00695,694.0,train
D00696,P00696,695.0,train
D00697,P00697,696.0,train
D00698,P00698,697.0,train
D00699,P00699,698.0,train
D00700,P00700,699.0,train
D00701,P00701,700.0,train
D00702,P00702,701.0,train
D00703,P00703,702.0,train
D00704,P00704,703.0,train
D00705,P00705,704.0,train
D00706,P00706,705.0,train
D00707,P00707,706.0,train
D00708,P00708,707.0,train
D00709,P00709,708.0,train
D00710,P00710,709.0,train
D00711,P00711,710.0,train
D00712,P00712,711.0,train
D00713,P00713,712.0,train
D00714,P00714,713.0,train
D00715,P00715,714.0,train
D00716,P00716,715.0,train
D00717,P00717,716.0,train
D00718,P00718,717.0,train
D00719,P00719,718.0,train
D00720,P00720,719.0,train
D00721,P00721,720.0,train
D00722,P00722,721.0,train
D00723,P00723,722.0,train
D00724,P00724,723.0,train
D00725,P00725,724.0,train
D00726,P00726,725.0,train
D00727,P00727,726.0,train
D00728,P00728,727.0,train
D00729,P00729,728.0,train
D00730,P00730,729.0,train
D00731,P00731,730.0,train
D00732,P00732,731.0,train
D00733,P00733,732.0,train
D00734,P00734,733.0,train
D00735,P00735,734.0,train
D00736,P00736,735.0,train
D00737,P00737,736.0,train
D00738,P00738,737.0,train
D00739,P00739,738.0,train
D00740,P00740,739.0,train
D00741,P00741,740.0,train
D00742,P00742,741.0,train
D00743,P00743,742.0,train
D00744,P00744,743.0,train
D00745,P00745,744.0,train
D00746,P00746,745.0,train
D00747,P00747,746.0,train
D00748,P00748,747.0,train
D00749,P00749,748.0,train
D00750,P00750,749.0,train
D00751,P00751,750.0,train
D00752,P00752,751.0,train
D00753,P00753,752.0,train
D00754,P00754,753.0,train
D00755,P00755,754.0,train
D00756,P00756,755.0,train
D00757,P00757,756.0,train
D00758,P00758,757.0,train
D00759,P00759,758.0,train
D00760,P00760,759.0,train
D00761,P00761,760.0,train
D00762,P00762,761.0,train
D00763,P00763,762.0,train
D00764,P00764,763.0,train
D00765,P00765,764.0,train
D00766,P00766,765.0,train
D00767,P00767,766.0,train
D00768,P00768,767.0,train
D00769,P00769,768.0,train
D00770,P00770,769.0,train
D00771,P00771,770.0,train
D00772,P00772,771.0,train
D00773,P00773,772.0,train
D00774,P00774,773.0,train
D00775,P00775,774.0,train
D00776,P00776,775.0,train
D00777,P00777,776.0,train
D00778,P00778,777.0,train
D00779,P00779,778.0,train
D00780,P00780,779.0,train
D00781,P00781,780.0,train
D00782,P00782,781.0,train
D00783,P00783,782.0,train
D00784,P00784,783.0,train
D00785,P00785,784.0,train
D00786,P00786,785.0,train
D00787,P00787,786.0,train
D00788,P00788,787.0,train
D00789,P00789,788.0,train
D00790,P00790,789.0,train
D00791,P00791,790.0,train
D00792,P00792,791.0,train
D00793,P00793,792.0,train
D00794,P00794,793.0,train
D00795,P00795,794.0,train
D00796,P00796,795.0,train
D00797,P00797,796.0,train
D00798,P00798,797.0,train
D00799,P00799,798.0,train
D00800,P00800,799.0,train
D00801,P00801,800.0,train
D00802,P00802,801.0,train
D00803,P00803,802.0,train
D00804,P00804,803.0,train
D00805,P00805,804.0,train
D00806,P00806,805.0,train
D00807,P00807,806.0,train
D00808,P00808,807.0,train
D00809,P00809,808.0,train
D00810,P00810,809.0,train
D00811,P00811,810.0,train
D00812,P00812,811.0,train
D00813,P00813,812.0,train
D00814,P00814,813.0,train
D00815,P00815,814.0,train
D00816,P00816,815.0,train
D00817,P00817,816.0,train
D00818,P00818,817.0,train
D00819,P00819,818.0,train
D00820,P00820,819.0,train
D00821,P00821,820.0,train
D00822,P00822,821.0,train
D00823,P00823,822.0,train
D00824,P00824,823.0,train
D00825,P00825,824.0,train
D00826,P00826,825.0,train
D00827,P00827,826.0,train
D00828,P00828,827.0,train
D00829,P00829,828.0,train
D00830,P00830,829.0,train
D00831,P00831,830.0,train
D00832,P00832,831.0,train
D00833,P00833,832.0,train
D00834,P00834,833.0,train
D00835,P00835,834.0,train
D00836,P00836,835.0,train
D00837,P00837,836.0,train
D00838,P00838,837.0,train
D00839,P00839,838.0,train
D00840,P00840,839.0,train
D00841,P00841,840.0,train
D00842,P00842,841.0,train
D00843,P00843,842.0,train
D00844,P00844,843.0,train
D00845,P00845,844.0,train
D00846,P00846,845.0,train
D00847,P00847,846.0,train
D00848,P00848,847.0,train
D00849,P00849,848.0,train
D00850,P00850,849.0,train
D00851,P00851,850.0,train
D00852,P00852,851.0,train
D00853,P00853,852.0,train
D00854,P00854,853.0,train
D00855,P00855,854.0,train
D00856,P00856,855.0,train
D00857,P00857,856.0,train
D00858,P00858,857.0,train
D00859,P00859,858.0,train
D00860,P00860,859.0,train
D00861,P00861,860.0,train
D00862,P00862,861.0,train
D00863,P00863,862.0,train
D00864,P00864,863.0,train
D00865,P00865,864.0,train
D00866,P00866,865.0,train
D00867,P00867,866.0,train
D00868,P00868,867.0,train
D00869,P00869,868.0,train
D00870,P00870,869.0,train
D00871,P00871,870.0,train
D00872,P00872,871.0,train
D00873,P00873,872.0,train
D00874,P00874,873.0,train
D00875,P00875,874.0,train
D00876,P00876,875.0,train
D00877,P00877,876.0,train
D00878,P00878,877.0,train
D00879,P00879,878.0,train
D00880,P00880,879.0,train
D00881,P00881,880.0,train
D00882,P00882,881.0,train
D00883,P00883,882.0,train
D00884,P00884,883.0,train
D00885,P00885,884.0,train
D00886,P00886,885.0,train
D00887,P00887,886.0,train
D00888,P00888,887.0,train
D00889,P00889,888.0,train
D00890,P00890,889.0,train
D00891,P00891,890.0,train
D00892,P00892,891.0,train
D00893,P00893,892.0,train
D00894,P00894,893.0,train
D00895,P00895,894.0,train
D00896,P00896,895.0,train
D00897,P00897,896.0,train
D00898,P00898,897.0,train
D00899,P00899,898.0,train
D00900,P00900,899.0,train
D00901,P00901,900.0,train
D00902,P00902,901.0,train
D00903,P00903,902.0,train
D00904,P00904,903.0,train
D00905,P00905,904.0,train
D00906,P00906,905.0,train
D00907,P00907,906.0,train
D00908,P00908,907.0,train
D00909,P00909,908.0,train
D00910,P00910,909.0,train
D00911,P00911,910.0,train
D00912,P00912,911.0,train
D00913,P00913,912.0,train
D00914,P00914,913.0,train
D00915,P00915,914.0,train
D00916,P00916,915.0,train
D00917,P00917,916.0,train
D00918,P00918,917.0,train
D00919,P00919,918.0,train
D00920,P00920,919.0,train
D00921,P00921,920.0,train
D00922,P00922,921.0,train
D00923,P00923,922.0,train
D00924,P00924,923.0,train
D00925,P00925,924.0,train
D00926,P00926,925.0,train
D00927,P00927,926.0,train
D00928,P00928,927.0,train
D00929,P00929,928.0,train
D00930,P00930,929.0,train
D00931,P00931,930.0,train
D00932,P00932,931.0,train
D00933,P00933,932.0,train
D00934,P00934,933.0,train
D00935,P00935,934.0,train
D00936,P00936,935.0,train
D00937,P00937,936.0,train
D00938,P00938,937.0,train
D00939,P00939,938.0,train
D00940,P00940,939.0,train
D00941,P00941,940.0,train
D00942,P00942,941.0,train
D00943,P00943,942.0,train
D00944,P00944,943.0,train
D00945,P00945,944.0,train
D00946,P00946,945.0,train
D00947,P00947,946.0,train
D00948,P00948,947.0,train
D00949,P00949,948.0,train
D00950,P00950,949.0,train
D00951,P00951,950.0,train
D00952,P00952,951.0,train
D00953,P00953,952.0,train
D00954,P00954,953.0,train
D00955,P00955,954.0,train
D00956,P00956,955.0,train
D00957,P00957,956.0,train
D00958,P00958,957.0,train
D00959,P00959,958.0,train
D00960,P00960,959.0,train
D00961,P00961,960.0,train
D00962,P00962,961.0,train
D00963,P00963,962.0,train
D00964,P00964,963.0,train
D00965,P00965,964.0,train
D00966,P00966,965.0,train
D00967,P00967,966.0,train
D00968,P00968,967.0,train
D00969,P00969,968.0,train
D00970,P00970,969.0,train
D00971,P00971,970.0,train
D00972,P00972,971.0,train
D00973,P00973,972.0,train
D00974,P00974,973.0,train
D00975,P00975,974.0,train
D00976,P00976,975.0,train
D00977,P00977,976.0,train
D00978,P00978,977.0,train
D00979,P00979,978.0,train
D00980,P00980,979.0,train
D00981,P00981,980.0,train
D00982,P00982,981.0,train
D00983,P00983,982.0,train
D00984,P00984,983.0,train
D00985,P00985,984.0,train
D00986,P00986,985.0,train
D00987,P00987,986.0,train
D00988,P00988,987.0,train
D00989,P00989,988.0,train
D00990,P00990,989.0,train
D00991,P00991,990.0,train
D00992,P00992,991.0,train
D00993,P00993,992.0,train
D00994,P00994,993.0,train
D00995,P00995,994.0,train
D00996,P00996,995.0,train
