drug_id,protein_id,interaction
D00173,P00173,0
D00174,P00174,1
D00175,P00175,0
D00176,P00176,1
D00177,P00177,0
D00178,P00178,1
D00179,P00179,0
D00180,P00180,1
D00181,P00181,0
D00182,P00182,1
D00183,P00183,0
D00184,P00184,1
D00185,P00185,0
D00186,P00186,1
D00187,P00187,0
D00188,P00188,1
D00189,P00189,0
D00190,P00190,1
D00191,P00191,0
D00192,P00192,1
D00193,P00193,0
D00194,P00194,1
D00195,P00195,0
D00196,P00196,1
D00197,P00197,0
D00198,P00198,1
D00199,P00199,0
D00200,P00200,1
D00201,P00201,0
D00202,P00202,1
D00203,P00203,0
D00204,P00204,1
D00205,P00205,0
D00206,P00206,1
D00207,P00207,0
D00208,P00208,1
D00209,P00209,0
D00210,P00210,1
D00211,P00211,0
D00212,P00212,1
D00213,P00213,0
D00214,P00214,1
D00215,P00215,0
D00216,P00216,1
D00217,P00217,0
D00218,P00218,1
D00219,P00219,0
D00220,P00220,1
D00221,P00221,0
D00222,P00222,1
D00223,P00223,0
D00224,P00224,1
D00225,P00225,0
D00226,P00226,1
D00227,P00227,0
D00228,P00228,1
D00229,P00229,0
D00230,P00230,1
D00231,P00231,0
D00232,P00232,1
D00233,P00233,0
D00234,P00234,1
D00235,P00235,0
D00236,P00236,1
D00237,P00237,0
D00238,P00238,1
D00239,P00239,0
D00240,P00240,1
D00241,P00241,0
D00242,P00242,1
D00243,P00243,0
D00244,P00244,1
D00245,P00245,0
D00246,P00246,1
D00247,P00247,0
D00248,P00248,1
D00249,P00249,0
D00250,P00250,1
D00251,P00251,0
D00252,P00252,1
D00253,P00253,0
D00254,P00254,1
D00255,P00255,0
D00256,P00256,1
D00257,P00257,0
D00258,P00258,1
D00259,P00259,0
D00260,P00260,1
D00261,P00261,0
D00262,P00262,1
D00263,P00263,0
D00264,P00264,1
D00265,P00265,0
D00266,P00266,1
D00267,P00267,0
D00268,P00268,1
D00269,P00269,0
D00270,P00270,1
D00271,P00271,0
D00272,P00272,1
D00273,P00273,0
D00274,P00274,1
D00275,P00275,0
D00276,P00276,1
D00277,P00277,0
D00278,P00278,1
D00279,P00279,0
D00280,P00280,1
D00281,P00281,0
D00282,P00282,1
D00283,P00283,0
D00284,P00284,1
D00285,P00285,0
D00286,P00286,1
D00287,P00287,0
D00288,P00288,1
D00289,P00289,0
D00290,P00290,1
D00291,P00291,0
D00292,P00292,1
D00293,P00293,0
D00294,P00294,1
D00295,P00295,0
D00296,P00296,1
D00297,P00297,0
D00298,P00298,1
D00299,P00299,0
D00300,P00300,1
D00301,P00301,0
D00302,P00302,1
D00303,P00303,0
D00304,P00304,1
D00305,P00305,0
D00306,P00306,1
D00307,P00307,0
D00308,P00308,1
D00309,P00309,0
D00310,P00310,1
D00311,P00311,0
D00312,P00312,1
D00313,P00313,0
D00314,P00314,1
D00315,P00315,0
D00316,P00316,1
D00317,P00317,0
D00318,P00318,1
D00319,P00319,0
D00320,P00320,1
D00321,P00321,0
D00322,P00322,1
D00323,P00323,0
D00324,P00324,1
D00325,P00325,0
D00326,P00326,1
D00327,P00327,0
D00328,P00328,1
D00329,P00329,0
D00330,P00330,1
D00331,P00331,0
D00332,P00332,1
D00333,P00333,0
D00334,P00334,1
D00335,P00335,0
D00336,P00336,1
D00337,P00337,0
D00338,P00338,1
D00339,P00339,0
D00340,P00340,1
D00341,P00341,0
D00342,P00342,1
D00343,P00343,0
D00344,P00344,1
D00345,P00345,0
D00346,P00346,1
D00347,P00347,0
D00348,P00348,1
D00349,P00349,0
D00350,P00350,1
D00351,P00351,0
D00352,P00352,1
D00353,P00353,0
D00354,P00354,1
D00355,P00355,0
D00356,P00356,1
D00357,P00357,0
D00358,P00358,1
D00359,P00359,0
D00360,P00360,1
D00361,P00361,0
D00362,P00362,1
D00363,P00363,0
D00364,P00364,1
D00365,P00365,0
D00366,P00366,1
D00367,P00367,0
D00368,P00368,1
D00369,P00369,0
D00370,P00370,1
D00371,P00371,0
D00372,P00372,1
D00373,P00373,0
D00374,P00374,1
D00375,P00375,0
D00376,P00376,1
D00377,P00377,0
D00378,P00378,1
D00379,P00379,0
D00380,P00380,1
D00381,P00381,0
D00382,P00382,1
D00383,P00383,0
D00384,P00384,1
D00385,P00385,0
D00386,P00386,1
D00387,P00387,0
D00388,P00388,1
D00389,P00389,0
D00390,P00390,1
D00391,P00391,0
D00392,P00392,1
D00393,P00393,0
D00394,P00394,1
D00395,P00395,0
D00396,P00396,1
D00397,P00397,0
D00398,P00398,1
D00399,P00399,0
D00400,P00400,1
D00401,P00401,0
D00402,P00402,1
D00403,P00403,0
D00404,P00404,1
D00405,P00405,0
D00406,P00406,1
D00407,P00407,0
D00408,P00408,1
D00409,P00409,0
D00410,P00410,1
D00411,P00411,0
D00412,P00412,1
D00413,P00413,0
D00414,P00414,1
D00415,P00415,0
D00416,P00416,1
D00417,P00417,0
D00418,P00418,1
D00419,P00419,0
D00420,P00420,1
D00421,P00421,0
D00422,P00422,1
D00423,P00423,0
D00424,P00424,1
D00425,P00425,0
D00426,P00426,1
D00427,P00427,0
D00428,P00428,1
D00429,P00429,0
D00430,P00430,1
D00431,P00431,0
D00432,P00432,1
D00433,P00433,0
D00434,P00434,1
D00435,P00435,0
D00436,P00436,1
D00437,P00437,0
D00438,P00438,1
D00439,P00439,0
D00440,P00440,1
D00441,P00441,0
D00442,P00442,1
D00443,P00443,0
D00444,P00444,1
D00445,P00445,0
D00446,P00446,1
D00447,P00447,0
D00448,P00448,1
D00449,P00449,0
D00450,P00450,1
D00451,P00451,0
D00452,P00452,1
D00453,P00453,0
D00454,P00454,1
D00455,P00455,0
D00456,P00456,1
D00457,P00457,0
D00458,P00458,1
D00459,P00459,0
D00460,P00460,1
D00461,P00461,0
D00462,P00462,1
D00463,P00463,0
D00464,P00464,1
D00465,P00465,0
D00466,P00466,1
D00467,P00467,0
D00468,P00468,1
D00469,P00469,0
D00470,P00470,1
D00471,P00471,0
D00472,P00472,1
D00473,P00473,0
D00474,P00474,1
D00475,P00475,0
D00476,P00476,1
D00477,P00477,0
D00478,P00478,1
D00479,P00479,0
D00480,P00480,1
D00481,P00481,0
D00482,P00482,1
D00483,P00483,0
D00484,P00484,1
D00485,P00485,0
D00486,P00486,1
D00487,P00487,0
D00488,P00488,1
D00489,P00489,0
D00490,P00490,1
D00491,P00491,0
D00492,P00492,1
D00493,P00493,0
D00494,P00494,1
D00495,P00495,0
D00496,P00496,1
D00497,P00497,0
D00498,P00498,1
D00499,P00499,0
D00500,P00500,1
D00501,P00501,0
D00502,P00502,1
D00503,P00503,0
D00504,P00504,1
D00505,P00505,0
D00506,P00506,1
D00507,P00507,0
D00508,P00508,1
D00509,P00509,0
D00510,P00510,1
D00511,P00511,0
D00512,P00512,1
D00513,P00513,0
D00514,P00514,1
D00515,P00515,0
D00516,P00516,1
D00517,P00517,0
D00518,P00518,1
D00519,P00519,0
D00520,P00520,1
D00521,P00521,0
D00522,P00522,1
D00523,P00523,0
D00524,P00524,1
D00525,P00525,0
D00526,P00526,1
D00527,P00527,0
D00528,P00528,1
D00529,P00529,0
D00530,P00530,1
D00531,P00531,0
D00532,P00532,1
D00533,P00533,0
D00534,P00534,1
D00535,P00535,0
D00536,P00536,1
D00537,P00537,0
D00538,P00538,1
D00539,P00539,0
D00540,P00540,1
D00541,P00541,0
D00542,P00542,1
D00543,P00543,0
D00544,P00544,1
D00545,P00545,0
D00546,P00546,1
D00547,P00547,0
D00548,P00548,1
D00549,P00549,0
D00550,P00550,1
D00551,P00551,0
D00552,P00552,1
D00553,P00553,0
D00554,P00554,1
D00555,P00555,0
D00556,P00556,1
D00557,P00557,0
D00558,P00558,1
D00559,P00559,0
D00560,P00560,1
D00561,P00561,0
D00562,P00562,1
D00563,P00563,0
D00564,P00564,1
D00565,P00565,0
D00566,P00566,1
D00567,P00567,0
D00568,P00568,1
D00569,P00569,0
D00570,P00570,1
D00571,P00571,0
D00572,P00572,1
D00573,P00573,0
D00574,P00574,1
D00575,P00575,0
D00576,P00576,1
D00577,P00577,0
D00578,P00578,1
D00579,P00579,0
D00580,P00580,1
D00581,P00581,0
D00582,P00582,1
D00583,P00583,0
D00584,P00584,1
D00585,P00585,0
D00586,P00586,1
D00587,P00587,0
D00588,P00588,1
D00589,P00589,0
D00590,P00590,1
D00591,P00591,0
D00592,P00592,1
D00593,P00593,0
D00594,P00594,1
D00595,P00595,0
D00596,P00596,1
D00597,P00597,0
D00598,P00598,1
D00599,P00599,0
D00600,P00600,1
D00601,P00601,0
D00602,P00602,1
D00603,P00603,0
D00604,P00604,1
D00605,P00605,0
D00606,P00606,1
D00607,P00607,0
D00608,P00608,1
D00609,P00609,0
D00610,P00610,1
D00611,P00611,0
D00612,P00612,1
D00613,P00613,0
D00614,P00614,1
D00615,P00615,0
D00616,P00616,1
D00617,P00617,0
D00618,P00618,1
D00619,P00619,0
D00620,P00620,1
D00621,P00621,0
D00622,P00622,1
D00623,P00623,0
D00624,P00624,1
D00625,P00625,0
D00626,P00626,1
D00627,P00627,0
D00628,P00628,1
D00629,P00629,0
D00630,P00630,1
D00631,P00631,0
D00632,P00632,1
D00633,P00633,0
D00634,P00634,1
D00635,P00635,0
D00636,P00636,1
D00637,P00637,0
D00638,P00638,1
D00639,P00639,0
D00640,P00640,1
D00641,P00641,0
D00642,P00642,1
D00643,P00643,0
D00644,P00644,1
D00645,P00645,0
D00646,P00646,1
D00647,P00647,0
D00648,P00648,1
D00649,P00649,0
D00650,P00650,1
D00651,P00651,0
D00652,P00652,1
D00653,P00653,0
D00654,P00654,1
D00655,P00655,0
D00656,P00656,1
D00657,P00657,0
D00658,P00658,1
D00659,P00659,0
D00660,P00660,1
D00661,P00661,0
D00662,P00662,1
D00663,P00663,0
D00664,P00664,1
D00665,P00665,0
D00666,P00666,1
D00667,P00667,0
D00668,P00668,1
D00669,P00669,0
D00670,P00670,1
D00671,P00671,0
D00672,P00672,1
D00673,P00673,0
D00674,P00674,1
D00675,P00675,0
D00676,P00676,1
D00677,P00677,0
D00678,P00678,1
D00679,P00679,0
D00680,P00680,1
D00681,P00681,0
D00682,P00682,1
D00683,P00683,0
D00684,P00684,1
D00685,P00685,0
D00686,P00686,1
D00687,P00687,0
D00688,P00688,1
D00689,P00689,0
D00690,P00690,1
D00691,P00691,0
D00692,P00692,1
D00693,P00693,0
D00694,P00694,1
D00695,P00695,0
D00696,P00696,1
D00697,P00697,0
D00698,P00698,1
D00699,P00699,0
D00700,P00700,1
D00701,P00701,0
D00702,P00702,1
D00703,P00703,0
D00704,P00704,1
D00705,P00705,0
D00706,P00706,1
D00707,P00707,0
D00708,P00708,1
D00709,P00709,0
D00710,P00710,1
D00711,P00711,0
D00712,P00712,1
D00713,P00713,0
D00714,P00714,1
D00715,P00715,0
D00716,P00716,1
D00717,P00717,0
D00718,P00718,1
D00719,P00719,0
D00720,P00720,1
D00721,P00721,0
D00722,P00722,1
D00723,P00723,0
D00724,P00724,1
D00725,P00725,0
D00726,P00726,1
D00727,P00727,0
D00728,P00728,1
D00729,P00729,0
D00730,P00730,1
D00731,P00731,0
D00732,P00732,1
D00733,P00733,0
D00734,P00734,1
D00735,P00735,0
D00736,P00736,1
D00737,P00737,0
D00738,P00738,1
D00739,P00739,0
D00740,P00740,1
D00741,P00741,0
D00742,P00742,1
D00743,P00743,0
D00744,P00744,1
D00745,P00745,0
D00746,P00746,1
D00747,P00747,0
D00748,P00748,1
D00749,P00749,0
D00750,P00750,1
D00751,P00751,0
D00752,P00752,1
D00753,P00753,0
D00754,P00754,1
D00755,P00755,0
D00756,P00756,1
D00757,P00757,0
D00758,P00758,1
D00759,P00759,0
D00760,P00760,1
D00761,P00761,0
D00762,P00762,1
D00763,P00763,0
D00764,P00764,1
D00765,P00765,0
D00766,P00766,1
D00767,P00767,0
D00768,P00768,1
D00769,P00769,0
D00770,P00770,1
D00771,P00771,0
D00772,P00772,1
D00773,P00773,0
D00774,P00774,1
D00775,P00775,0
D00776,P00776,1
D00777,P00777,0
D00778,P00778,1
D00779,P00779,0
D00780,P00780,1
D00781,P00781,0
D00782,P00782,1
D00783,P00783,0
D00784,P00784,1
D00785,P00785,0
D00786,P00786,1
D00787,P00787,0
D00788,P00788,1
D00789,P00789,0
D00790,P00790,1
D00791,P00791,0
D00792,P00792,1
D00793,P00793,0
D00794,P00794,1
D00795,P00795,0
D00796,P00796,1
D00797,P00797,0
D00798,P00798,1
D00799,P00799,0
D00800,P00800,1
D00801,P00801,0
D00802,P00802,1
D00803,P00803,0
D00804,P00804,1
D00805,P00805,0
D00806,P00806,1
D00807,P00807,0
D00808,P00808,1
D00809,P00809,0
D00810,P00810,1
D00811,P00811,0
D00812,P00812,1
D00813,P00813,0
D00814,P00814,1
D00815,P00815,0
D00816,P00816,1
D00817,P00817,0
D00818,P00818,1
D00819,P00819,0
D00820,P00820,1
D00821,P00821,0
D00822,P00822,1
D00823,P00823,0
D00824,P00824,1
D00825,P00825,0
D00826,P00826,1
D00827,P00827,0
D00828,P00828,1
D00829,P00829,0
D00830,P00830,1
D00831,P00831,0
D00832,P00832,1
D00833,P00833,0
D00834,P00834,1
D00835,P00835,0
D00836,P00836,1
D00837,P00837,0
D00838,P00838,1
D00839,P00839,0
D00840,P00840,1
D00841,P00841,0
D00842,P00842,1
D00843,P00843,0
D00844,P00844,1
D00845,P00845,0
D00846,P00846,1
D00847,P00847,0
D00848,P00848,1
D00849,P00849,0
D00850,P00850,1
D00851,P00851,0
D00852,P00852,1
D00853,P00853,0
D00854,P00854,1
D00855,P00855,0
D00856,P00856,1
D00857,P00857,0
D00858,P00858,1
D00859,P00859,0
D00860,P00860,1
D00861,P00861,0
D00862,P00862,1
D00863,P00863,0
D00864,P00864,1
D00865,P00865,0
D00866,P00866,1
D00867,P00867,0
D00868,P00868,1
D00869,P00869,0
D00870,P00870,1
D00871,P00871,0
D00872,P00872,1
D00873,P00873,0
D00874,P00874,1
D00875,P00875,0
D00876,P00876,1
D00877,P00877,0
D00878,P00878,1
D00879,P00879,0
D00880,P00880,1
D00881,P00881,0
D00882,P00882,1
D00883,P00883,0
D00884,P00884,1
D00885,P00885,0
D00886,P00886,1
D00887,P00887,0
D00888,P00888,1
D00889,P00889,0
D00890,P00890,1
D00891,P00891,0
D00892,P00892,1
D00893,P00893,0
D00894,P00894,1
D00895,P00895,0
D00896,P00896,1
D00897,P00897,0
D00898,P00898,1
D00899,P00899,0
D00900,P00900,1
D00901,P00901,0
D00902,P00902,1
D00903,P00903,0
D00904,P00904,1
D00905,P00905,0
D00906,P00906,1
D00907,P00907,0
D00908,P00908,1
D00909,P00909,0
D00910,P00910,1
D00911,P00911,0
D00912,P00912,1
D00913,P00913,0
D00914,P00914,1
D00915,P00915,0
D00916,P00916,1
D00917,P00917,0
D00918,P00918,1
D00919,P00919,0
D00920,P00920,1
D00921,P00921,0
D00922,P00922,1
D00923,P00923,0
D00924,P00924,1
D00925,P00925,0
D00926,P00926,1
D00927,P00927,0
D00928,P00928,1
D00929,P00929,0
D00930,P00930,1
D00931,P00931,0
D00932,P00932,1
D00933,P00933,0
D00934,P00934,1
D00935,P00935,0
D00936,P00936,1
D00937,P00937,0
D00938,P00938,1
D00939,P00939,0
D00940,P00940,1
D00941,P00941,0
D00942,P00942,1
D00943,P00943,0
D00944,P00944,1
D00945,P00945,0
D00946,P00946,1
D00947,P00947,0
D00948,P00948,1
D00949,P00949,0
D00950,P00950,1
D00951,P00951,0
D00952,P00952,1
D00953,P00953,0
D00954,P00954,1
D00955,P00955,0
D00956,P00956,1
D00957,P00957,0
D00958,P00958,1
D00959,P00959,0
D00960,P00960,1
D00961,P00961,0
D00962,P00962,1
D00963,P00963,0
D00964,P00964,1
D00965,P00965,0
D00966,P00966,1
D00967,P00967,0
D00968,P00968,1
D00969,P00969,0
D00970,P00970,1
D00971,P00971,0
D00972,P00972,1
D00973,P00973,0
D00974,P00974,1
D00975,P00975,0
D00976,P00976,1
D00977,P00977,0
D00978,P00978,1
D00979,P00979,0
D00980,P00980,1
D00981,P00981,0
D00982,P00982,1
D00983,P00983,0
D00984,P00984,1
D00985,P00985,0
D00986,P00986,1
D00987,P00987,0
D00988,P00988,1
D00989,P00989,0
D00990,P00990,1
D00991,P00991,0
D00992,P00992,1
D00993,P00993,0
D00994,P00994,1
D00995,P00995,0
D00996,P00996,1
D00997,P00997,0
D00998,P00998,1
D00999,P00999,0
D01000,P01000,1
D01001,P01001,0
D01002,P01002,1
D01003,P01003,0
D01004,P01004,1
D01005,P01005,0
D01006,P01006,1
D01007,P01007,0
D01008,P01008,1
D01009,P01009,0
D01010,P01010,1
D01011,P01011,0
D01012,P01012,1
D01013,P01013,0
D01014,P01014,1
D01015,P01015,0
D01016,P01016,1
D01017,P01017,0
D01018,P01018,1
D01019,P01019,0
D01020,P01020,1
D01021,P01021,0
D01022,P01022,1
D01023,P01023,0
D01024,P01024,1
D01025,P01025,0
D01026,P01026,1
D01027,P01027,0
D01028,P01028,1
D01029,P01029,0
D01030,P01030,1
D01031,P01031,0
D01032,P01032,1
D01033,P01033,0
D01034,P01034,1
D01035,P01035,0
D01036,P01036,1
D01037,P01037,0
D01038,P01038,1
D01039,P01039,0
D01040,P01040,1
D01041,P01041,0
D01042,P01042,1
D01043,P01043,0
D01044,P01044,1
D01045,P01045,0
D01046,P01046,1
D01047,P01047,0
D01048,P01048,1
D01049,P01049,0
D01050,P01050,1
D01051,P01051,0
D01052,P01052,1
D01053,P01053,0
D01054,P01054,1
D01055,P01055,0
D01056,P01056,1
D01057,P01057,0
D01058,P01058,1
D01059,P01059,0
D01060,P01060,1
D01061,P01061,0
D01062,P01062,1
D01063,P01063,0
D01064,P01064,1
D01065,P01065,0
D01066,P01066,1
D01067,P01067,0
D01068,P01068,1
D01069,P01069,0
D01070,P01070,1
D01071,P01071,0
D01072,P01072,1
D01073,P01073,0
D01074,P01074,1
D01075,P01075,0
D01076,P01076,1
D01077,P01077,0
D01078,P01078,1
D01079,P01079,0
D01080,P01080,1
D01081,P01081,0
D01082,P01082,1
D01083,P01083,0
D01084,P01084,1
D01085,P01085,0
D01086,P01086,1
D01087,P01087,0
D01088,P01088,1
D01089,P01089,0
D01090,P01090,1
D01091,P01091,0
D01092,P01092,1
D01093,P01093,0
D01094,P01094,1
D01095,P01095,0
D01096,P01096,1
D01097,P01097,0
D01098,P01098,1
D01099,P01099,0
D01100,P01100,1
D01101,P01101,0
D01102,P01102,1
D01103,P01103,0
D01104,P01104,1
D01105,P01105,0
D01106,P01106,1
D01107,P01107,0
D01108,P01108,1
D01109,P01109,0
D01110,P01110,1
D01111,P01111,0
D01112,P01112,1
D01113,P01113,0
D01114,P01114,1
D01115,P01115,0
D01116,P01116,1
D01117,P01117,0
D01118,P01118,1
D01119,P01119,0
D01120,P01120,1
D01121,P01121,0
D01122,P01122,1
D01123,P01123,0
D01124,P01124,1
D01125,P01125,0
D01126,P01126,1
D01127,P01127,0
D01128,P01128,1
D01129,P01129,0
D01130,P01130,1
D01131,P01131,0
D01132,P01132,1
D01133,P01133,0
D01134,P01134,1
D01135,P01135,0
D01136,P01136,1
D01137,P01137,0
D01138,P01138,1
D01139,P01139,0
D01140,P01140,1
D01141,P01141,0
D01142,P01142,1
D01143,P01143,0
D01144,P01144,1
D01145,P01145,0
D01146,P01146,1
D01147,P01147,0
D01148,P01148,1
D01149,P01149,0
D01150,P01150,1
D01151,P01151,0
D01152,P01152,1
D01153,P01153,0
D01154,P01154,1
D01155,P01155,0
D01156,P01156,1
D01157,P01157,0
D01158,P01158,1
D01159,P01159,0
D01160,P01160,1
D01161,P01161,0
D01162,P01162,1
D01163,P01163,0
D01164,P01164,1
D01165,P01165,0
D01166,P01166,1
D01167,P01167,0
D01168,P01168,1
D01169,P01169,0
D01170,P01170,1
D01171,P01171,0
D01172,P01172,1
D01173,P01173,0
D01174,P01174,1
D01175,P01175,0
D01176,P01176,1
D01177,P01177,0
D01178,P01178,1
D01179,P01179,0
D01180,P01180,1
D01181,P01181,0
D01182,P01182,1
D01183,P01183,0
D01184,P01184,1
D01185,P01185,0
D01186,P01186,1
D01187,P01187,0
D01188,P01188,1
D01189,P01189,0
D01190,P01190,1
D01191,P01191,0
D01192,P01192,1
D01193,P01193,0
D01194,P01194,1
D01195,P01195,0
D01196,P01196,1
D01197,P01197,0
D01198,P01198,1
D01199,P01199,0
D01200,P01200,1
D01201,P01201,0
D01202,P01202,1
D01203,P01203,0
D01204,P01204,1
D01205,P01205,0
D01206,P01206,1
D01207,P01207,0
D01208,P01208,1
D01209,P01209,0
D01210,P01210,1
D01211,P01211,0
D01212,P01212,1
D01213,P01213,0
D01214,P01214,1
D01215,P01215,0
D01216,P01216,1
D01217,P01217,0
D01218,P01218,1
D01219,P01219,0
D01220,P01220,1
D01221,P01221,0
D01222,P01222,1
D01223,P01223,0
D01224,P01224,1
D01225,P01225,0
D01226,P01226,1
D01227,P01227,0
D01228,P01228,1
D01229,P01229,0
D01230,P01230,1
D01231,P01231,0
D01232,P01232,1
D01233,P01233,0
D01234,P01234,1
D01235,P01235,0
D01236,P01236,1
D01237,P01237,0
D01238,P01238,1
D01239,P01239,0
D01240,P01240,1
D01241,P01241,0
D01242,P01242,1
D01243,P01243,0
D01244,P01244,1
D01245,P01245,0
D01246,P01246,1
D01247,P01247,0
D01248,P01248,1
D01249,P01249,0
D01250,P01250,1
D01251,P01251,0
D01252,P01252,1
D01253,P01253,0
D01254,P01254,1
D01255,P01255,0
D01256,P01256,1
D01257,P01257,0
D01258,P01258,1
D01259,P01259,0
D01260,P01260,1
D01261,P01261,0
D01262,P01262,1
D01263,P01263,0
D01264,P01264,1
D01265,P01265,0
D01266,P01266,1
D01267,P01267,0
D01268,P01268,1
D01269,P01269,0
D01270,P01270,1
D01271,P01271,0
D01272,P01272,1
D01273,P01273,0
D01274,P01274,1
D01275,P01275,0
D01276,P01276,1
D01277,P01277,0
D01278,P01278,1
D01279,P01279,0
D01280,P01280,1
D01281,P01281,0
D01282,P01282,1
D01283,P01283,0
D01284,P01284,1
D01285,P01285,0
D01286,P01286,1
D01287,P01287,0
D01288,P01288,1
D01289,P01289,0
D01290,P01290,1
D01291,P01291,0
D01292,P01292,1
D01293,P01293,0
D01294,P01294,1
D01295,P01295,0
D01296,P01296,1
D01297,P01297,0
D01298,P01298,1
D01299,P01299,0
D01300,P01300,1
D01301,P01301,0
D01302,P01302,1
D01303,P01303,0
D01304,P01304,1
D01305,P01305,0
D01306,P01306,1
D01307,P01307,0
D01308,P01308,1
D01309,P01309,0
D01310,P01310,1
D01311,P01311,0
D01312,P01312,1
D01313,P01313,0
D01314,P01314,1
D01315,P01315,0
D01316,P01316,1
D01317,P01317,0
D01318,P01318,1
D01319,P01319,0
D01320,P01320,1
D01321,P01321,0
D01322,P01322,1
D01323,P01323,0
D01324,P01324,1
D01325,P01325,0
D01326,P01326,1
D01327,P01327,0
D01328,P01328,1
D01329,P01329,0
D01330,P01330,1
D01331,P01331,0
D01332,P01332,1
D01333,P01333,0
D01334,P01334,1
D01335,P01335,0
D01336,P01336,1
D01337,P01337,0
D01338,P01338,1
D01339,P01339,0
D01340,P01340,1
D01341,P01341,0
D01342,P01342,1
D01343,P01343,0
D01344,P01344,1
D01345,P01345,0
D01346,P01346,1
D01347,P01347,0
D01348,P01348,1
D01349,P01349,0
D01350,P01350,1
D01351,P01351,0
D01352,P01352,1
D01353,P01353,0
D01354,P01354,1
D01355,P01355,0
D01356,P01356,1
D01357,P01357,0
D01358,P01358,1
D01359,P01359,0
D01360,P01360,1
D01361,P01361,0
D01362,P01362,1
D01363,P01363,0
D01364,P01364,1
D01365,P01365,0
D01366,P01366,1
D01367,P01367,0
D01368,P01368,1
D01369,P01369,0
D01370,P01370,1
D01371,P01371,0
D01372,P01372,1
D01373,P01373,0
D01374,P01374,1
D01375,P01375,0
D01376,P01376,1
D01377,P01377,0
D01378,P01378,1
D01379,P01379,0
D01380,P01380,1
D01381,P01381,0
D01382,P01382,1
D01383,P01383,0
D01384,P01384,1
D01385,P01385,0
D01386,P01386,1
D01387,P01387,0
D01388,P01388,1
D01389,P01389,0
D01390,P01390,1
D01391,P01391,0
D01392,P01392,1
D01393,P01393,0
D01394,P01394,1
D01395,P01395,0
D01396,P01396,1
