protein_id,sequence
P00158,hsa:22954
P00159,hsa:1431
P00160,hsa:1545
P00161,hsa:5831
P00162,hsa:1969
P00163,hsa:238
P00164,hsa:3480
P00165,hsa:5624
P00166,hsa:11266
P00167,hsa:1576
P00168,hsa:759
P00169,hsa:2224
P00170,hsa:1581
P00171,hsa:5407
P00172,hsa:30814
P00173,hsa:635
P00174,hsa:2339
P00175,hsa:7367
P00176,hsa:1579
P00177,hsa:1432
P00178,hsa:8940
P00179,hsa:270
P00180,hsa:7150
P00181,hsa:326625
P00182,hsa:260293
P00183,hsa:5151
P00184,hsa:3645
P00185,hsa:2597
P00186,hsa:983
P00187,hsa:51181
P00188,hsa:5140
P00189,hsa:7083
P00190,hsa:4128
P00191,hsa:11330
P00192,hsa:1558
P00193,hsa:55312
P00194,hsa:5743
P00195,hsa:84618
P00196,hsa:1675
P00197,hsa:1848
P00198,hsa:231
P00199,hsa:29920
P00200,hsa:9420
P00201,hsa:150290
P00202,hsa:1557
P00203,hsa:5150
P00204,hsa:1557
P00205,hsa:5053
P00206,hsa:2328
P00207,hsa:5147
P00208,hsa:4907
P00209,hsa:5562
P00210,hsa:4051
P00211,hsa:11238
P00212,hsa:5159
P00213,hsa:5332
P00214,hsa:4128
P00215,hsa:635
P00216,hsa:5743
P00217,hsa:4914
P00218,hsa:225689
P00219,hsa:115
P00220,hsa:1544
P00221,hsa:3815
P00222,hsa:5595
P00223,hsa:54490
P00224,hsa:1585
P00225,hsa:6652
P00226,hsa:43
P00227,hsa:306
P00228,hsa:5150
P00229,hsa:54878
P00230,hsa:27032
P00231,hsa:30833
P00232,hsa:240
P00233,hsa:4017
P00234,hsa:29785
P00235,hsa:5547
P00236,hsa:2822
P00237,hsa:9563
P00238,hsa:1577
P00239,hsa:51095
P00240,hsa:4915
P00241,hsa:108
P00242,hsa:27115
P00243,hsa:5607
P00244,hsa:5447
P00245,hsa:1555
P00246,hsa:1636
P00247,hsa:4758
P00248,hsa:1548
P00249,hsa:658
P00250,hsa:2065
P00251,hsa:2135
P00252,hsa:199974
P00253,hsa:4282
P00254,hsa:3001
P00255,hsa:5650
P00256,hsa:1559
P00257,hsa:1558
P00258,hsa:1579
P00259,hsa:11343
P00260,hsa:1571
P00261,hsa:5537
P00262,hsa:28227
P00263,hsa:55811
P00264,hsa:761
P00265,hsa:1432
P00266,hsa:7010
P00267,hsa:125
P00268,hsa:116447
P00269,hsa:115
P00270,hsa:6768
P00271,hsa:27034
P00272,hsa:2806
P00273,hsa:2950
P00274,hsa:5136
P00275,hsa:1844
P00276,hsa:763
P00277,hsa:8398
P00278,hsa:5143
P00279,hsa:28
P00280,hsa:1548
P00281,hsa:231
P00282,hsa:91
P00283,hsa:5122
P00284,hsa:4921
P00285,hsa:3292
P00286,hsa:8529
P00287,hsa:1733
P00288,hsa:5142
P00289,hsa:8399
P00290,hsa:1572
P00291,hsa:5979
P00292,hsa:6300
P00293,hsa:3817
P00294,hsa:8529
P00295,hsa:587
P00296,hsa:27032
P00297,hsa:54657
P00298,hsa:1557
P00299,hsa:8555
P00300,hsa:5148
P00301,hsa:6897
P00302,hsa:5600
P00303,hsa:6898
P00304,hsa:4919
P00305,hsa:5530
P00306,hsa:10846
P00307,hsa:7367
P00308,hsa:3791
P00309,hsa:495
P00310,hsa:2048
P00311,hsa:38
P00312,hsa:1573
P00313,hsa:1890
P00314,hsa:1593
P00315,hsa:5476
P00316,hsa:1557
P00317,hsa:10924
P00318,hsa:7498
P00319,hsa:5831
P00320,hsa:1576
P00321,hsa:5049
P00322,hsa:7299
P00323,hsa:327
P00324,hsa:5742
P00325,hsa:2098
P00326,hsa:590
P00327,hsa:660
P00328,hsa:1571
P00329,hsa:224
P00330,hsa:113
P00331,hsa:5550
P00332,hsa:1573
P00333,hsa:9388
P00334,hsa:5740
P00335,hsa:10846
P00336,hsa:3906
P00337,hsa:9150
P00338,hsa:1595
P00339,hsa:1850
P00340,hsa:2050
P00341,hsa:29920
P00342,hsa:1573
P00343,hsa:4233
P00344,hsa:51292
P00345,hsa:5596
P00346,hsa:8529
P00347,hsa:2050
P00348,hsa:3614
P00349,hsa:23436
P00350,hsa:4835
P00351,hsa:107
P00352,hsa:3291
P00353,hsa:7155
P00354,hsa:1555
P00355,hsa:64499
P00356,hsa:5142
P00357,hsa:683
P00358,hsa:3643
P00359,hsa:2235
P00360,hsa:771
P00361,hsa:8854
P00362,hsa:4233
P00363,hsa:1436
P00364,hsa:5147
P00365,hsa:5501
P00366,hsa:3156
P00367,hsa:1589
P00368,hsa:64816
P00369,hsa:22843
P00370,hsa:10846
P00371,hsa:91039
P00372,hsa:94
P00373,hsa:2597
P00374,hsa:2043
P00375,hsa:5445
P00376,hsa:2048
P00377,hsa:50484
P00378,hsa:2322
P00379,hsa:1579
P00380,hsa:142679
P00381,hsa:5152
P00382,hsa:1571
P00383,hsa:339221
P00384,hsa:5141
P00385,hsa:35
P00386,hsa:1588
P00387,hsa:2044
P00388,hsa:5501
P00389,hsa:7294
P00390,hsa:670
P00391,hsa:5605
P00392,hsa:1595
P00393,hsa:196883
P00394,hsa:1583
P00395,hsa:1969
P00396,hsa:54576
P00397,hsa:8854
P00398,hsa:765
P00399,hsa:116447
P00400,hsa:10846
P00401,hsa:3283
P00402,hsa:10924
P00403,hsa:5607
P00404,hsa:5742
P00405,hsa:51004
P00406,hsa:5742
P00407,hsa:1033
P00408,hsa:5138
P00409,hsa:6714
P00410,hsa:5145
P00411,hsa:5608
P00412,hsa:1571
P00413,hsa:10667
P00414,hsa:9388
P00415,hsa:5340
P00416,hsa:5742
P00417,hsa:1445
P00418,hsa:5742
P00419,hsa:2677
P00420,hsa:28
P00421,hsa:51172
P00422,hsa:7010
P00423,hsa:1178
P00424,hsa:1576
P00425,hsa:191
P00426,hsa:1956
P00427,hsa:57176
P00428,hsa:231
P00429,hsa:2882
P00430,hsa:134510
P00431,hsa:3939
P00432,hsa:5494
P00433,hsa:1147
P00434,hsa:225689
P00435,hsa:2822
P00436,hsa:50484
P00437,hsa:84171
P00438,hsa:285220
P00439,hsa:2260
P00440,hsa:1576
P00441,hsa:5834
P00442,hsa:2051
P00443,hsa:11202
P00444,hsa:10461
P00445,hsa:5141
P00446,hsa:64816
P00447,hsa:5515
P00448,hsa:2159
P00449,hsa:51205
P00450,hsa:5743
P00451,hsa:660
P00452,hsa:4048
P00453,hsa:79799
P00454,hsa:1576
P00455,hsa:29920
P00456,hsa:5604
P00457,hsa:3712
P00458,hsa:5742
P00459,hsa:683
P00460,hsa:2326
P00461,hsa:246
P00462,hsa:29785
P00463,hsa:5052
P00464,hsa:8654
P00465,hsa:1595
P00466,hsa:1572
P00467,hsa:686
P00468,hsa:5146
P00469,hsa:64816
P00470,hsa:5650
P00471,hsa:5406
P00472,hsa:6259
P00473,hsa:9647
P00474,hsa:238
P00475,hsa:1384
P00476,hsa:2639
P00477,hsa:4593
P00478,hsa:1565
P00479,hsa:1580
P00480,hsa:4129
P00481,hsa:1579
P00482,hsa:1593
P00483,hsa:1803
P00484,hsa:1558
P00485,hsa:658
P00486,hsa:2065
P00487,hsa:4758
P00488,hsa:1573
P00489,hsa:9088
P00490,hsa:7153
P00491,hsa:5747
P00492,hsa:4593
P00493,hsa:759
P00494,hsa:43
P00495,hsa:5091
P00496,hsa:3615
P00497,hsa:133121
P00498,hsa:765
P00499,hsa:29920
P00500,hsa:6240
P00501,hsa:4593
P00502,hsa:10846
P00503,hsa:29785
P00504,hsa:762
P00505,hsa:51645
P00506,hsa:5145
P00507,hsa:196883
P00508,hsa:1565
P00509,hsa:1312
P00510,hsa:9420
P00511,hsa:4058
P00512,hsa:1571
P00513,hsa:7297
P00514,hsa:339221
P00515,hsa:50940
P00516,hsa:1545
P00517,hsa:5052
P00518,hsa:5144
P00519,hsa:51251
P00520,hsa:7010
P00521,hsa:51251
P00522,hsa:5860
P00523,hsa:5600
P00524,hsa:3906
P00525,hsa:4758
P00526,hsa:5141
P00527,hsa:590
P00528,hsa:1544
P00529,hsa:5152
P00530,hsa:4048
P00531,hsa:36
P00532,hsa:216
P00533,hsa:55811
P00534,hsa:1559
P00535,hsa:2135
P00536,hsa:1021
P00537,hsa:2879
P00538,hsa:7075
P00539,hsa:765
P00540,hsa:27115
P00541,hsa:91
P00542,hsa:27115
P00543,hsa:2193
P00544,hsa:766
P00545,hsa:7156
P00546,hsa:5743
P00547,hsa:284541
P00548,hsa:5327
P00549,hsa:4200
P00550,hsa:242
P00551,hsa:1544
P00552,hsa:2048
P00553,hsa:54575
P00554,hsa:50940
P00555,hsa:10924
P00556,hsa:1844
P00557,hsa:2046
P00558,hsa:1551
P00559,hsa:25796
P00560,hsa:260293
P00561,hsa:1806
P00562,hsa:5321
P00563,hsa:1436
P00564,hsa:1582
P00565,hsa:10858
P00566,hsa:5144
P00567,hsa:111
P00568,hsa:2047
P00569,hsa:2264
P00570,hsa:1543
P00571,hsa:51727
P00572,hsa:3643
P00573,hsa:5049
P00574,hsa:7155
P00575,hsa:7365
P00576,hsa:5742
P00577,hsa:3988
P00578,hsa:5327
P00579,hsa:5597
P00580,hsa:3283
P00581,hsa:2058
P00582,hsa:767
P00583,hsa:7015
P00584,hsa:3156
P00585,hsa:5651
P00586,hsa:1559
P00587,hsa:8940
P00588,hsa:5051
P00589,hsa:3292
P00590,hsa:4129
P00591,hsa:2582
P00592,hsa:5500
P00593,hsa:18
P00594,hsa:1588
P00595,hsa:5836
P00596,hsa:8529
P00597,hsa:5050
P00598,hsa:1543
P00599,hsa:112
P00600,hsa:5328
P00601,hsa:8940
P00602,hsa:11238
P00603,hsa:29968
P00604,hsa:1585
P00605,hsa:55359
P00606,hsa:5095
P00607,hsa:472
P00608,hsa:43
P00609,hsa:5144
P00610,hsa:29785
P00611,hsa:2044
P00612,hsa:1636
P00613,hsa:313
P00614,hsa:5742
P00615,hsa:1549
P00616,hsa:2046
P00617,hsa:132160
P00618,hsa:2263
P00619,hsa:4486
P00620,hsa:1572
P00621,hsa:5149
P00622,hsa:6259
P00623,hsa:1589
P00624,hsa:7363
P00625,hsa:2877
P00626,hsa:57176
P00627,hsa:1360
P00628,hsa:2264
P00629,hsa:4281
P00630,hsa:2950
P00631,hsa:80824
P00632,hsa:1845
P00633,hsa:51181
P00634,hsa:1593
P00635,hsa:1572
P00636,hsa:2161
P00637,hsa:5319
P00638,hsa:107
P00639,hsa:6714
P00640,hsa:5150
P00641,hsa:9641
P00642,hsa:1551
P00643,hsa:50487
P00644,hsa:2065
P00645,hsa:84618
P00646,hsa:22843
P00647,hsa:116447
P00648,hsa:2065
P00649,hsa:10825
P00650,hsa:23632
P00651,hsa:57016
P00652,hsa:4129
P00653,hsa:767
P00654,hsa:5408
P00655,hsa:2180
P00656,hsa:2263
P00657,hsa:1021
P00658,hsa:5136
P00659,hsa:2638
P00660,hsa:5742
P00661,hsa:1557
P00662,hsa:2147
P00663,hsa:231
P00664,hsa:587
P00665,hsa:11202
P00666,hsa:5152
P00667,hsa:5646
P00668,hsa:2064
P00669,hsa:983
P00670,hsa:2180
P00671,hsa:7046
P00672,hsa:10846
P00673,hsa:51292
P00674,hsa:1559
P00675,hsa:6714
P00676,hsa:5743
P00677,hsa:5159
P00678,hsa:5137
P00679,hsa:8622
P00680,hsa:260293
P00681,hsa:5562
P00682,hsa:1586
P00683,hsa:1633
P00684,hsa:2876
P00685,hsa:4552
P00686,hsa:1576
P00687,hsa:5331
P00688,hsa:7957
P00689,hsa:2582
P00690,hsa:5742
P00691,hsa:1573
P00692,hsa:5743
P00693,hsa:2876
P00694,hsa:4233
P00695,hsa:6300
P00696,hsa:1565
P00697,hsa:238
P00698,hsa:4548
P00699,hsa:85313
P00700,hsa:7153
P00701,hsa:2098
P00702,hsa:199974
P00703,hsa:472
P00704,hsa:10327
P00705,hsa:5607
P00706,hsa:767
P00707,hsa:2597
P00708,hsa:1735
P00709,hsa:10935
P00710,hsa:10461
P00711,hsa:7015
P00712,hsa:7155
P00713,hsa:51601
P00714,hsa:10461
P00715,hsa:3815
P00716,hsa:5148
P00717,hsa:695
P00718,hsa:10846
P00719,hsa:7015
P00720,hsa:1544
P00721,hsa:590
P00722,hsa:43
P00723,hsa:766
P00724,hsa:23632
P00725,hsa:23632
P00726,hsa:3156
P00727,hsa:9420
P00728,hsa:7155
P00729,hsa:132160
P00730,hsa:1555
P00731,hsa:3990
P00732,hsa:5142
P00733,hsa:7173
P00734,hsa:2260
P00735,hsa:5607
P00736,hsa:5351
P00737,hsa:5149
P00738,hsa:5149
P00739,hsa:2339
P00740,hsa:5143
P00741,hsa:2180
P00742,hsa:2877
P00743,hsa:64902
P00744,hsa:2066
P00745,hsa:2342
P00746,hsa:128
P00747,hsa:5536
P00748,hsa:4128
P00749,hsa:1025
P00750,hsa:1576
P00751,hsa:5605
P00752,hsa:1551
P00753,hsa:54575
P00754,hsa:5136
P00755,hsa:9647
P00756,hsa:1579
P00757,hsa:5837
P00758,hsa:1581
P00759,hsa:5478
P00760,hsa:1436
P00761,hsa:54677
P00762,hsa:11238
P00763,hsa:657
P00764,hsa:5147
P00765,hsa:7155
P00766,hsa:1555
P00767,hsa:114
P00768,hsa:1576
P00769,hsa:2046
P00770,hsa:1548
P00771,hsa:7174
P00772,hsa:1576
P00773,hsa:7298
P00774,hsa:5831
P00775,hsa:2878
P00776,hsa:5742
P00777,hsa:9023
P00778,hsa:4881
P00779,hsa:670
P00780,hsa:285220
P00781,hsa:2044
P00782,hsa:760
P00783,hsa:11266
P00784,hsa:1579
P00785,hsa:3735
P00786,hsa:5595
P00787,hsa:2822
P00788,hsa:4051
P00789,hsa:5597
P00790,hsa:5754
P00791,hsa:5831
P00792,hsa:1565
P00793,hsa:54659
P00794,hsa:1565
P00795,hsa:50
P00796,hsa:3156
P00797,hsa:112
P00798,hsa:23632
P00799,hsa:11202
P00800,hsa:5137
P00801,hsa:54576
P00802,hsa:2321
P00803,hsa:4860
P00804,hsa:5138
P00805,hsa:5531
P00806,hsa:8556
P00807,hsa:4881
P00808,hsa:3643
P00809,hsa:64600
P00810,hsa:1588
P00811,hsa:11266
P00812,hsa:5645
P00813,hsa:5142
P00814,hsa:1583
P00815,hsa:1549
P00816,hsa:5141
P00817,hsa:23632
P00818,hsa:1576
P00819,hsa:5159
P00820,hsa:5122
P00821,hsa:56922
P00822,hsa:5470
P00823,hsa:2322
P00824,hsa:760
P00825,hsa:5142
P00826,hsa:2045
P00827,hsa:5148
P00828,hsa:5743
P00829,hsa:7957
P00830,hsa:55811
P00831,hsa:57665
P00832,hsa:2264
P00833,hsa:5646
P00834,hsa:1579
P00835,hsa:2880
P00836,hsa:10858
P00837,hsa:501
P00838,hsa:260293
P00839,hsa:23430
P00840,hsa:762
P00841,hsa:5337
P00842,hsa:54659
P00843,hsa:55811
P00844,hsa:1565
P00845,hsa:90
P00846,hsa:5149
P00847,hsa:7010
P00848,hsa:1636
P00849,hsa:54659
P00850,hsa:51004
P00851,hsa:11330
P00852,hsa:27032
P00853,hsa:115
P00854,hsa:5742
P00855,hsa:7957
P00856,hsa:51004
P00857,hsa:4593
P00858,hsa:8654
P00859,hsa:1555
P00860,hsa:10846
P00861,hsa:3156
P00862,hsa:5144
P00863,hsa:1586
P00864,hsa:1558
P00865,hsa:107
P00866,hsa:1580
P00867,hsa:189
P00868,hsa:3735
P00869,hsa:5837
P00870,hsa:1636
P00871,hsa:10858
P00872,hsa:5150
P00873,hsa:63036
P00874,hsa:5406
P00875,hsa:1852
P00876,hsa:2041
P00877,hsa:5053
P00878,hsa:4835
P00879,hsa:29968
P00880,hsa:9420
P00881,hsa:28
P00882,hsa:5979
P00883,hsa:5597
P00884,hsa:1593
P00885,hsa:2180
P00886,hsa:5972
P00887,hsa:2158
P00888,hsa:1576
P00889,hsa:4143
P00890,hsa:5151
P00891,hsa:695
P00892,hsa:29941
P00893,hsa:3156
P00894,hsa:765
P00895,hsa:1504
P00896,hsa:3645
P00897,hsa:22954
P00898,hsa:7010
P00899,hsa:11343
P00900,hsa:4128
P00901,hsa:10269
P00902,hsa:5142
P00903,hsa:8399
P00904,hsa:2041
P00905,hsa:7084
P00906,hsa:2064
P00907,hsa:5148
P00908,hsa:4916
P00909,hsa:30833
P00910,hsa:5321
P00911,hsa:2342
P00912,hsa:2746
P00913,hsa:55902
P00914,hsa:1719
P00915,hsa:3716
P00916,hsa:108
P00917,hsa:3290
P00918,hsa:1585
P00919,hsa:7367
P00920,hsa:2050
P00921,hsa:151531
P00922,hsa:635
P00923,hsa:5470
P00924,hsa:3643
P00925,hsa:2878
P00926,hsa:5406
P00927,hsa:84618
P00928,hsa:1594
P00929,hsa:270
P00930,hsa:142679
P00931,hsa:5159
P00932,hsa:1572
P00933,hsa:30
P00934,hsa:8654
P00935,hsa:2050
P00936,hsa:84152
P00937,hsa:4758
P00938,hsa:8435
P00939,hsa:225689
P00940,hsa:5156
P00941,hsa:4860
P00942,hsa:8529
P00943,hsa:10846
P00944,hsa:1544
P00945,hsa:50487
P00946,hsa:5328
P00947,hsa:51292
P00948,hsa:2677
P00949,hsa:3283
P00950,hsa:10858
P00951,hsa:5168
P00952,hsa:10461
P00953,hsa:2261
P00954,hsa:5143
P00955,hsa:63904
P00956,hsa:5657
P00957,hsa:767
P00958,hsa:1576
P00959,hsa:3712
P00960,hsa:1565
P00961,hsa:5651
P00962,hsa:4593
P00963,hsa:10056
P00964,hsa:5151
P00965,hsa:5145
P00966,hsa:767
P00967,hsa:2882
P00968,hsa:1553
P00969,hsa:240
P00970,hsa:2050
P00971,hsa:6609
P00972,hsa:4919
P00973,hsa:1580
P00974,hsa:2261
P00975,hsa:7371
P00976,hsa:6714
P00977,hsa:3002
P00978,hsa:199974
P00979,hsa:2822
P00980,hsa:1589
P00981,hsa:1733
P00982,hsa:63036
P00983,hsa:5333
P00984,hsa:8940
P00985,hsa:2046
P00986,hsa:1565
P00987,hsa:590
P00988,hsa:1436
P00989,hsa:38
P00990,hsa:760
P00991,hsa:10667
P00992,hsa:759
P00993,hsa:5562
P00994,hsa:8529
P00995,hsa:5604
P00996,hsa:5742
P00997,hsa:4143
P00998,hsa:5137
P00999,hsa:54576
P01000,hsa:5743
P01001,hsa:4048
P01002,hsa:5140
P01003,hsa:53938
P01004,hsa:5147
P01005,hsa:6609
P01006,hsa:1572
P01007,hsa:9641
P01008,hsa:5743
P01009,hsa:4552
P01010,hsa:6098
P01011,hsa:5050
P01012,hsa:2041
P01013,hsa:23475
P01014,hsa:2159
P01015,hsa:313
P01016,hsa:759
P01017,hsa:54677
P01018,hsa:5137
P01019,hsa:834
P01020,hsa:767
P01021,hsa:8399
P01022,hsa:10846
P01023,hsa:63904
P01024,hsa:1636
P01025,hsa:284541
P01026,hsa:5150
P01027,hsa:10279
P01028,hsa:4051
P01029,hsa:8654
P01030,hsa:5743
P01031,hsa:5979
P01032,hsa:7153
P01033,hsa:5051
P01034,hsa:5742
P01035,hsa:4915
P01036,hsa:4921
P01037,hsa:1735
P01038,hsa:1562
P01039,hsa:2051
P01040,hsa:5742
P01041,hsa:4311
P01042,hsa:80824
P01043,hsa:51251
P01044,hsa:5096
P01045,hsa:9641
P01046,hsa:1577
P01047,hsa:2161
P01048,hsa:285220
P01049,hsa:3156
P01050,hsa:2155
P01051,hsa:1803
P01052,hsa:25
P01053,hsa:8399
P01054,hsa:2936
P01055,hsa:1033
P01056,hsa:55512
P01057,hsa:10279
P01058,hsa:780
P01059,hsa:2677
P01060,hsa:5138
P01061,hsa:1267
P01062,hsa:5152
P01063,hsa:5322
P01064,hsa:199974
P01065,hsa:5651
P01066,hsa:5481
P01067,hsa:5140
P01068,hsa:1588
P01069,hsa:2582
P01070,hsa:51207
P01071,hsa:2263
P01072,hsa:1735
P01073,hsa:353
P01074,hsa:28227
P01075,hsa:91
P01076,hsa:760
P01077,hsa:93
P01078,hsa:1579
P01079,hsa:5536
P01080,hsa:1548
P01081,hsa:5337
P01082,hsa:1544
P01083,hsa:10549
P01084,hsa:231
P01085,hsa:1543
P01086,hsa:25824
P01087,hsa:6897
P01088,hsa:7155
P01089,hsa:22843
P01090,hsa:10279
P01091,hsa:51181
P01092,hsa:4058
P01093,hsa:1545
P01094,hsa:6240
P01095,hsa:6610
P01096,hsa:5167
P01097,hsa:4353
P01098,hsa:1573
P01099,hsa:5532
P01100,hsa:1584
P01101,hsa:3295
P01102,hsa:6725
P01103,hsa:10295
P01104,hsa:2147
P01105,hsa:1800
P01106,hsa:5743
P01107,hsa:586
P01108,hsa:11266
P01109,hsa:1723
P01110,hsa:8622
P01111,hsa:8940
P01112,hsa:115
P01113,hsa:4200
P01114,hsa:1580
P01115,hsa:2880
P01116,hsa:1843
P01117,hsa:8435
P01118,hsa:1577
P01119,hsa:4552
P01120,hsa:1565
P01121,hsa:2280
P01122,hsa:1636
P01123,hsa:3735
P01124,hsa:6098
P01125,hsa:7365
P01126,hsa:1545
P01127,hsa:5142
P01128,hsa:1558
P01129,hsa:1573
P01130,hsa:1585
P01131,hsa:1312
P01132,hsa:590
P01133,hsa:9563
P01134,hsa:5837
P01135,hsa:285220
P01136,hsa:29785
P01137,hsa:771
P01138,hsa:6610
P01139,hsa:1376
P01140,hsa:1589
P01141,hsa:5096
P01142,hsa:5742
P01143,hsa:2160
P01144,hsa:4915
P01145,hsa:9023
P01146,hsa:5141
P01147,hsa:113
P01148,hsa:4129
P01149,hsa:64499
P01150,hsa:5096
P01151,hsa:4953
P01152,hsa:51181
P01153,hsa:2322
P01154,hsa:5743
P01155,hsa:4311
P01156,hsa:4128
P01157,hsa:7367
P01158,hsa:27115
P01159,hsa:5979
P01160,hsa:771
P01161,hsa:5338
P01162,hsa:1543
P01163,hsa:5320
P01164,hsa:1436
P01165,hsa:4058
P01166,hsa:5138
P01167,hsa:113
P01168,hsa:5742
P01169,hsa:1431
P01170,hsa:31
P01171,hsa:129807
P01172,hsa:5740
P01173,hsa:3815
P01174,hsa:10858
P01175,hsa:3945
P01176,hsa:7153
P01177,hsa:5167
P01178,hsa:5742
P01179,hsa:2342
P01180,hsa:27115
P01181,hsa:2879
P01182,hsa:1576
P01183,hsa:4353
P01184,hsa:50940
P01185,hsa:4067
P01186,hsa:5138
P01187,hsa:686
P01188,hsa:1991
P01189,hsa:6799
P01190,hsa:4921
P01191,hsa:13
P01192,hsa:5496
P01193,hsa:1725
P01194,hsa:8622
P01195,hsa:27034
P01196,hsa:2045
P01197,hsa:4921
P01198,hsa:5499
P01199,hsa:218
P01200,hsa:247
P01201,hsa:84152
P01202,hsa:1595
P01203,hsa:94
P01204,hsa:284541
P01205,hsa:26279
P01206,hsa:5095
P01207,hsa:5605
P01208,hsa:5499
P01209,hsa:5142
P01210,hsa:1565
P01211,hsa:7174
P01212,hsa:7155
P01213,hsa:10858
P01214,hsa:5742
P01215,hsa:111
P01216,hsa:9641
P01217,hsa:5045
P01218,hsa:1544
P01219,hsa:1431
P01220,hsa:116447
P01221,hsa:4129
P01222,hsa:284541
P01223,hsa:1436
P01224,hsa:763
P01225,hsa:216
P01226,hsa:5159
P01227,hsa:1846
P01228,hsa:558
P01229,hsa:326625
P01230,hsa:1549
P01231,hsa:8288
P01232,hsa:133121
P01233,hsa:5151
P01234,hsa:1636
P01235,hsa:5499
P01236,hsa:5149
P01237,hsa:4067
P01238,hsa:7054
P01239,hsa:1633
P01240,hsa:55775
P01241,hsa:4311
P01242,hsa:5136
P01243,hsa:11343
P01244,hsa:6240
P01245,hsa:780
P01246,hsa:5148
P01247,hsa:3141
P01248,hsa:2328
P01249,hsa:1553
P01250,hsa:5141
P01251,hsa:1559
P01252,hsa:5152
P01253,hsa:2326
P01254,hsa:7015
P01255,hsa:1593
P01256,hsa:3712
P01257,hsa:5645
P01258,hsa:5337
P01259,hsa:2135
P01260,hsa:93
P01261,hsa:1847
P01262,hsa:4025
P01263,hsa:84812
P01264,hsa:1580
P01265,hsa:7174
P01266,hsa:4915
P01267,hsa:767
P01268,hsa:1559
P01269,hsa:7174
P01270,hsa:8288
P01271,hsa:2041
P01272,hsa:7301
P01273,hsa:10667
P01274,hsa:5147
P01275,hsa:6716
P01276,hsa:5321
P01277,hsa:100
P01278,hsa:759
P01279,hsa:55312
P01280,hsa:7153
P01281,hsa:4482
P01282,hsa:1562
P01283,hsa:11343
P01284,hsa:1594
